TestName,Run,Recording,Io,Analysis,AnaHb,AnaExitCode,AnaLeak,AnaClose,AnaConcurrent,AnaResource,AnaSelWithoutPartner,AnaUnlock,AnaWait,AnaMixed,FuzzingAna,FuzzingMut,Rewrite,Replay,NumberReplay
TestBufferedDrainSlow,0.14238,0.23783,0.00009,0.00012,0.00007,0.00000,0.00000,0.00000,0.00005,0.00000,0.00000,0.00000,0.00000,0.00000,0.00005,0.00000,0.00000,0.00004,0
TestBufferedDrainSlow,0.14238,0.26017,0.00012,0.00010,0.00005,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00004,0
TestBufferedDrainSlow,0.14238,0.23457,0.00021,0.00010,0.00004,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00005,0
TestBufferedDrainSlow,0.14238,0.23055,0.00018,0.00008,0.00003,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00005,0
TestBufferedDrainSlow,0.14238,0.24344,0.00011,0.00011,0.00004,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00004,0
TestBufferedDrainSlow,0.14238,0.24958,0.00008,0.00007,0.00003,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00003,0
TestBufferedDrainSlow,0.14238,0.24092,0.00013,0.00011,0.00005,0.00000,0.00000,0.00000,0.00004,0.00000,0.00000,0.00000,0.00000,0.00000,0.00004,0.00000,0.00000,0.00003,0
TestBufferedDrainSlow,0.14238,0.23135,0.00010,0.00008,0.00003,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00004,0
TestBufferedDrainSlow,0.14238,0.23707,0.00011,0.00010,0.00004,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00004,0
TestBufferedDrainSlow,0.14238,0.24466,0.00057,0.00013,0.00007,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00006,0
TestBufferedDrainSlow,0.14238,0.24486,0.00008,0.00005,0.00002,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00002,0
TestBufferedDrainSlow,0.14238,0.27679,0.00012,0.00005,0.00002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00002,0
