Mode,TestName,NoEvents,NoGoroutines,NoAtomicEvents,NoChannelEvents,NoSelectEvents,NoMutexEvents,NoWaitgroupEvents,NoCondVariablesEvents,NoOnceOperations
Flow,TestMixedDeadlock,10,2,0,2,0,4,0,0,0
GFuzz,TestMixedDeadlock,10,2,0,2,0,4,0,0,0
GFuzzHB,TestMixedDeadlock,10,2,0,2,0,4,0,0,0
GFuzzHBFlow,TestMixedDeadlock,10,2,0,2,0,4,0,0,0
GoPie+,TestMixedDeadlock,10,2,0,2,0,4,0,0,0
GoPie+,TestMixedDeadlock,11,4,0,2,0,4,0,0,0
GoPie+,TestMixedDeadlock,11,4,0,2,0,4,0,0,0
GoPie+,TestMixedDeadlock,11,4,0,2,0,4,0,0,0
GoPie+,TestMixedDeadlock,0,0,0,0,0,0,0,0,0
GoPie,TestMixedDeadlock,10,2,0,2,0,4,0,0,0
GoPie,TestMixedDeadlock,11,4,0,2,0,4,0,0,0
GoPieHB,TestMixedDeadlock,10,2,0,2,0,4,0,0,0
GoPieHB,TestMixedDeadlock,11,4,0,2,0,4,0,0,0
GoPieHB,TestMixedDeadlock,0,0,0,0,0,0,0,0,0
