TestName,NumberActualBugTotal,NoLeaksTotal,NoLeaksWithRewriteTotal,NoLeaksResolvedViaReplayTotal,NoPanicsTotal,NoPanicsVerifiedViaReplayTotal,NoUnexpectedPanicsInReplayTotal,NoProbInRecordingTotal,NumberActualBugUnique,NoLeaksUnique,NoLeaksWithRewriteUnique,NoLeaksResolvedViaReplayUnique,NoPanicsUnique,NoPanicsVerifiedViaReplayUnique,NoUnexpectedPanicsInReplayUnique
TestMixed3,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0
TestMixed3,1,1,0,0,0,0,0,0,3,1,0,0,0,0,0
TestMixed3,1,2,0,0,0,0,0,0,5,3,0,0,0,0,0
TestMixed3,1,1,0,0,0,0,0,0,6,1,0,0,0,0,0
TestMixed3,1,1,0,0,0,0,0,0,7,1,0,0,0,0,0
TestMixed3,1,1,0,0,0,0,0,0,8,1,0,0,0,0,0
TestMixed3,1,1,0,0,0,0,0,0,9,1,0,0,0,0,0
TestMixed3,1,1,0,0,0,0,0,0,10,1,0,0,0,0,0
TestMixed3,1,1,0,0,0,0,0,0,11,1,0,0,0,0,0
TestMixed3,1,1,0,0,0,0,0,0,12,1,0,0,0,0,0
TestMixed3,1,1,0,0,0,0,0,0,22,11,0,0,0,0,0
TestMixed3,1,1,0,0,0,0,0,0,23,11,0,0,0,0,0
TestMixed3,1,1,0,0,0,0,0,0,24,11,0,0,0,0,0
TestMixed3,1,1,0,0,0,0,0,0,25,11,0,0,0,0,0
TestMixed3,1,1,0,0,0,0,0,0,26,11,0,0,0,0,0
TestMixed3,1,1,0,0,0,0,0,0,27,11,0,0,0,0,0
TestMixed3,1,1,0,0,0,0,0,0,28,11,0,0,0,0,0
TestMixed3,1,1,0,0,0,0,0,0,29,11,0,0,0,0,0
TestMixed3,1,1,0,0,0,0,0,0,30,11,0,0,0,0,0
TestMixed3,1,1,0,0,0,0,0,0,31,11,0,0,0,0,0
TestMixed3,1,1,0,0,0,0,0,0,31,10,0,0,0,0,0
TestMixed3,1,1,0,0,0,0,0,0,32,10,0,0,0,0,0
