Mode,TestName,NumberActualBugTotal,NoLeaksTotal,NoLeaksWithRewriteTotal,NoLeaksResolvedViaReplayTotal,NoPanicsTotal,NoPanicsVerifiedViaReplayTotal,NoUnexpectedPanicsInReplayTotal,NoProbInRecordingTotal,NumberActualBugUnique,NoLeaksUnique,NoLeaksWithRewriteUnique,NoLeaksResolvedViaReplayUnique,NoPanicsUnique,NoPanicsVerifiedViaReplayUnique,NoUnexpectedPanicsInReplayUnique
Flow,TestP01_PossibleSendOnClosed,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0
GFuzz,TestP01_PossibleSendOnClosed,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GFuzzHB,TestP01_PossibleSendOnClosed,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0
GFuzzHBFlow,TestP01_PossibleSendOnClosed,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0
GoPie+,TestP01_PossibleSendOnClosed,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0
