Mode,TestName,NoEvents,NoGoroutines,NoAtomicEvents,NoChannelEvents,NoSelectEvents,NoMutexEvents,NoWaitgroupEvents,NoCondVariablesEvents,NoOnceOperations
Flow,TestSelectMultiple,7,2,0,1,1,0,0,0,0
GFuzz,TestSelectMultiple,7,2,0,1,1,0,0,0,0
GFuzz,TestSelectMultiple,6,3,0,1,1,0,0,0,0
GFuzz,TestSelectMultiple,6,3,0,1,1,0,0,0,0
GFuzz,TestSelectMultiple,7,2,0,1,1,0,0,0,0
GFuzz,TestSelectMultiple,7,2,0,1,1,0,0,0,0
GFuzzHB,TestSelectMultiple,7,2,0,1,1,0,0,0,0
GFuzzHB,TestSelectMultiple,7,2,0,1,1,0,0,0,0
GFuzzHB,TestSelectMultiple,6,3,0,1,1,0,0,0,0
GFuzzHB,TestSelectMultiple,7,2,0,1,1,0,0,0,0
GFuzzHBFlow,TestSelectMultiple,7,2,0,1,1,0,0,0,0
GFuzzHBFlow,TestSelectMultiple,6,3,0,1,1,0,0,0,0
GFuzzHBFlow,TestSelectMultiple,7,2,0,1,1,0,0,0,0
GFuzzHBFlow,TestSelectMultiple,7,2,0,1,1,0,0,0,0
GFuzzHBFlow,TestSelectMultiple,6,3,0,1,1,0,0,0,0
GoPie+,TestSelectMultiple,7,2,0,1,1,0,0,0,0
GoPie,TestSelectMultiple,7,2,0,1,1,0,0,0,0
GoPieHB,TestSelectMultiple,7,2,0,1,1,0,0,0,0
