Mode,TestName,NoEvents,NoGoroutines,NoAtomicEvents,NoChannelEvents,NoSelectEvents,NoMutexEvents,NoWaitgroupEvents,NoCondVariablesEvents,NoOnceOperations
Flow,TestSelectWithPartner,4,1,0,1,1,0,0,0,0
GFuzz,TestSelectWithPartner,4,1,0,1,1,0,0,0,0
GFuzz,TestSelectWithPartner,4,2,0,1,1,0,0,0,0
GFuzz,TestSelectWithPartner,4,2,0,1,1,0,0,0,0
GFuzzHB,TestSelectWithPartner,4,1,0,1,1,0,0,0,0
GFuzzHB,TestSelectWithPartner,4,2,0,1,1,0,0,0,0
GFuzzHB,TestSelectWithPartner,4,2,0,1,1,0,0,0,0
GFuzzHBFlow,TestSelectWithPartner,4,1,0,1,1,0,0,0,0
GFuzzHBFlow,TestSelectWithPartner,4,2,0,1,1,0,0,0,0
GFuzzHBFlow,TestSelectWithPartner,4,2,0,1,1,0,0,0,0
GoPie+,TestSelectWithPartner,4,1,0,1,1,0,0,0,0
GoPie,TestSelectWithPartner,4,1,0,1,1,0,0,0,0
GoPieHB,TestSelectWithPartner,4,1,0,1,1,0,0,0,0
