TestName,NumberActualBugTotal,NoLeaksTotal,NoLeaksWithRewriteTotal,NoLeaksResolvedViaReplayTotal,NoPanicsTotal,NoPanicsVerifiedViaReplayTotal,NoUnexpectedPanicsInReplayTotal,NoProbInRecordingTotal,NumberActualBugUnique,NoLeaksUnique,NoLeaksWithRewriteUnique,NoLeaksResolvedViaReplayUnique,NoPanicsUnique,NoPanicsVerifiedViaReplayUnique,NoUnexpectedPanicsInReplayUnique
TestManageIdentity,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0
TestManageIdentity,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0
TestManageIdentity,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0
TestManageIdentity,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0
TestManageIdentity,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0
TestManageIdentity,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0
TestManageIdentity,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0
TestManageIdentity,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0
TestManageIdentity,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0
TestManageIdentity,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0
TestManageIdentity,4,0,0,0,0,0,0,0,79,0,0,0,0,0,0
TestManageIdentity,4,0,0,0,0,0,0,0,154,0,0,0,0,0,0
TestManageIdentity,4,0,0,0,0,0,0,0,79,0,0,0,0,0,0
TestManageIdentity,4,0,0,0,0,0,0,0,79,0,0,0,0,0,0
TestManageIdentity,4,0,0,0,0,0,0,0,79,0,0,0,0,0,0
TestManageIdentity,4,0,0,0,0,0,0,0,79,0,0,0,0,0,0
