Mode,TestName,Run,Recording,Io,Analysis,AnaHb,AnaExitCode,AnaLeak,AnaClose,AnaConcurrent,AnaResource,AnaSelWithoutPartner,AnaUnlock,AnaWait,AnaMixed,FuzzingAna,FuzzingMut,Rewrite,Replay,NumberReplay
Flow,TestManageIdentity,0.37850,0.53003,0.00029,0.00052,0.00015,0.00000,0.00006,0.00010,0.00000,0.00010,0.00001,0.00001,0.00000,0.00000,0.00000,0.00000,0.00005,0.00010,0
GFuzz,TestManageIdentity,0.42436,0.74576,0.00022,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GFuzz,TestManageIdentity,0.42436,0.74997,0.00025,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GFuzz,TestManageIdentity,0.42436,0.50953,0.00025,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GFuzz,TestManageIdentity,0.42436,0.48095,0.00029,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GFuzz,TestManageIdentity,0.42436,0.47372,0.00025,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GFuzz,TestManageIdentity,0.42436,0.52709,0.00022,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GFuzzHB,TestManageIdentity,0.44500,0.52449,0.00014,0.00020,0.00006,0.00000,0.00002,0.00004,0.00000,0.00003,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00003,0.00005,0
GFuzzHB,TestManageIdentity,0.44500,0.49334,0.00029,0.00035,0.00009,0.00000,0.00003,0.00006,0.00000,0.00006,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00004,0.00008,0
GFuzzHB,TestManageIdentity,0.44500,0.49378,0.00018,0.00021,0.00006,0.00000,0.00002,0.00004,0.00000,0.00004,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00002,0.00004,0
GFuzzHB,TestManageIdentity,0.44500,0.50956,0.00029,0.00038,0.00010,0.00000,0.00003,0.00006,0.00000,0.00007,0.00001,0.00001,0.00000,0.00000,0.00000,0.00000,0.00004,0.00007,0
GFuzzHB,TestManageIdentity,0.44500,0.45702,0.00015,0.00017,0.00005,0.00000,0.00002,0.00003,0.00000,0.00003,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00002,0.00004,0
GFuzzHB,TestManageIdentity,0.44500,0.53831,0.00014,0.00027,0.00006,0.00000,0.00002,0.00003,0.00000,0.00006,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00002,0.00024,0
GFuzzHB,TestManageIdentity,0.44500,0.47109,0.00029,0.00041,0.00011,0.00000,0.00004,0.00007,0.00000,0.00007,0.00001,0.00001,0.00000,0.00000,0.00000,0.00000,0.00004,0.00008,0
GFuzzHB,TestManageIdentity,0.44500,0.53011,0.00026,0.00029,0.00008,0.00000,0.00003,0.00005,0.00000,0.00005,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00004,0.00006,0
GFuzzHB,TestManageIdentity,0.44500,0.51628,0.00029,0.00038,0.00010,0.00000,0.00003,0.00006,0.00000,0.00006,0.00001,0.00001,0.00000,0.00000,0.00000,0.00000,0.00004,0.00008,0
GFuzzHB,TestManageIdentity,0.44500,0.51144,0.00016,0.00020,0.00006,0.00000,0.00002,0.00004,0.00000,0.00003,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00002,0.00003,0
GFuzzHB,TestManageIdentity,0.44500,0.47604,0.00028,0.00041,0.00011,0.00000,0.00004,0.00007,0.00000,0.00007,0.00001,0.00001,0.00000,0.00000,0.00000,0.00000,0.00004,0.00016,0
