Mode,TestName,Run,Recording,Io,Analysis,AnaHb,AnaExitCode,AnaLeak,AnaClose,AnaConcurrent,AnaResource,AnaSelWithoutPartner,AnaUnlock,AnaWait,AnaMixed,FuzzingAna,FuzzingMut,Rewrite,Replay,NumberReplay
Flow,TestReplaceRemoteAdminServer,0.34923,0.45821,0.00032,0.00051,0.00004,0.00000,0.00007,0.00000,0.00000,0.00011,0.00000,0.00010,0.00000,0.00000,0.00000,0.00000,0.00037,0.00008,0
GFuzz,TestReplaceRemoteAdminServer,0.34994,0.74693,0.00012,0.00001,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GFuzzHB,TestReplaceRemoteAdminServer,0.36370,0.43653,0.00031,0.00040,0.00003,0.00000,0.00009,0.00000,0.00000,0.00007,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00030,0.00007,0
GFuzzHBFlow,TestReplaceRemoteAdminServer,0.43645,0.44487,0.00043,0.00043,0.00004,0.00000,0.00007,0.00000,0.00000,0.00009,0.00000,0.00004,0.00000,0.00000,0.00000,0.00000,0.00036,0.00012,0
GoPie+,TestReplaceRemoteAdminServer,0.36545,0.44539,0.00029,0.00001,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GoPie+,TestReplaceRemoteAdminServer,0.36545,70.45561,0.00020,0.00001,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GoPie,TestReplaceRemoteAdminServer,0.35648,0.45143,0.00026,0.00001,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GoPie,TestReplaceRemoteAdminServer,0.35648,70.73386,0.00006,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GoPieHB,TestReplaceRemoteAdminServer,0.34249,0.46460,0.00031,0.00036,0.00003,0.00000,0.00007,0.00000,0.00000,0.00009,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00032,0.00009,0
GoPieHB,TestReplaceRemoteAdminServer,0.34249,0.44998,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GoPieHB,TestReplaceRemoteAdminServer,0.34249,0.64349,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GoPieHB,TestReplaceRemoteAdminServer,0.34249,660.61146,0.00015,0.00006,0.00000,0.00000,0.00001,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00006,0
