Test,Flow,GFuzz,GFuzzHB,GFuzzHBFlow,GoPie,GoPie+,GoPieHB
TestAdminHandlerBuiltinRouteErrors,0.82692,1.12593,0.84581,0.87218,71.64926,71.99074,75.04004
TestAdminHandlerErrorHandling,0.83673,1.1581,0.86974,0.85524,60.56101,61.50313,61.43315
TestAdminRouterProvisioning,0.87582,1.13134,0.83629,0.8574,60.72969,71.48672,71.68922
TestAllowedOriginsUnixSocket,0.87339,1.28087,0.92565,0.88165,0.85977,0.89009,0.827
TestCustomLog_loggerAllowed,0.95913,1.31213,0.94538,0.93624,0.93056,0.94494,0.9489
TestETags,3.09701,1.26699,3.97077,63.14785,71.71955,71.45292,63.23689
TestEvent_CloudEvent_NilOrigin,3.19881,1.11964,3.46664,3.21581,60.6855,59.04032,60.23047
TestExpand,0.93657,1.27171,0.95305,0.94668,0.96136,0.93677,0.95601
TestGetModules,0.96913,1.2616,0.93632,0.94538,0.93637,0.95488,0.9155
TestJoinHostPort,0.91539,1.20334,0.94046,0.9398,0.9374,0.91943,0.9367
TestJoinNetworkAddress,0.83616,1.1585,0.86082,0.83141,0.84316,0.86342,0.87977
TestLoadConcurrent,0.99256,1.29054,143.93868,0.96808,0.91966,0.94952,0.9075
TestManageIdentity,0.96928,4.07661,8.89942,3.50386,661.6122,71.43468,71.3536
TestModuleID,0.93002,1.22524,0.91909,0.92055,0.93445,0.90292,0.94586
TestNewAdminHandlerRouterRegistration,0.84149,1.20496,0.864,0.83892,0.84187,0.86016,0.88622
TestParseDuration,0.8325,1.11865,0.87251,0.83977,0.86727,0.84973,0.84594
TestParseNetworkAddress,0.84881,1.14024,0.8522,0.86511,0.8553,0.86846,0.87531
TestParseNetworkAddressWithDefaults,0.86923,1.13889,0.84459,0.85212,0.87964,0.8694,0.84045
TestReplaceRemoteAdminServer,0.85767,1.14471,0.84931,0.93612,71.63658,71.37498,662.65531
TestReplacer,0.96622,1.26684,0.92505,0.95142,0.95283,0.93064,0.94077
TestReplacerDelete,0.93104,1.25086,0.93222,0.92267,0.93943,0.97574,0.95387
TestReplacerMap,0.95426,1.2704,0.94889,0.89985,0.93582,0.94151,0.94786
TestReplacerNew,0.95423,1.26254,0.95873,0.95457,0.96251,0.92168,0.95839
TestReplacerNewWithoutFile,0.9434,1.26484,0.96648,0.96863,0.9292,0.96346,0.93935
TestReplacerReplaceKnown,0.91587,1.29784,0.97144,0.94631,0.94523,0.93493,0.95158
TestReplacerSet,0.93308,1.35551,0.95298,0.93155,0.9511,0.9161,0.94887
TestSplitNetworkAddress,0.84563,1.13881,0.84989,0.91367,0.8684,0.89291,0.8515
TestSplitUnixSocketPermissionsBits,0.90785,1.25821,0.91282,0.93243,0.93381,0.94485,0.95049
TestUnsyncedConfigAccess,0.8626,0.82818,0.84786,0.84743,0.85134,0.87136,0.90043
