Mode,TestName,NoEvents,NoGoroutines,NoAtomicEvents,NoChannelEvents,NoSelectEvents,NoMutexEvents,NoWaitgroupEvents,NoCondVariablesEvents,NoOnceOperations
Flow,TestCustomDefaultShellCompDirective,10,4,0,0,0,6,0,0,0
GFuzz,TestCustomDefaultShellCompDirective,10,4,0,0,0,6,0,0,0
GFuzzHB,TestCustomDefaultShellCompDirective,10,4,0,0,0,6,0,0,0
GFuzzHBFlow,TestCustomDefaultShellCompDirective,10,4,0,0,0,6,0,0,0
GoPie+,TestCustomDefaultShellCompDirective,10,4,0,0,0,6,0,0,0
GoPie+,TestCustomDefaultShellCompDirective,11,6,0,0,0,6,0,0,0
GoPie,TestCustomDefaultShellCompDirective,10,4,0,0,0,6,0,0,0
GoPie,TestCustomDefaultShellCompDirective,11,6,0,0,0,6,0,0,0
GoPie,TestCustomDefaultShellCompDirective,11,6,0,0,0,6,0,0,0
GoPie,TestCustomDefaultShellCompDirective,11,6,0,0,0,6,0,0,0
GoPie,TestCustomDefaultShellCompDirective,11,6,0,0,0,6,0,0,0
GoPie,TestCustomDefaultShellCompDirective,11,6,0,0,0,6,0,0,0
GoPie,TestCustomDefaultShellCompDirective,11,6,0,0,0,6,0,0,0
GoPie,TestCustomDefaultShellCompDirective,11,6,0,0,0,6,0,0,0
GoPie,TestCustomDefaultShellCompDirective,11,6,0,0,0,6,0,0,0
GoPie,TestCustomDefaultShellCompDirective,11,6,0,0,0,6,0,0,0
GoPie,TestCustomDefaultShellCompDirective,11,6,0,0,0,6,0,0,0
GoPie,TestCustomDefaultShellCompDirective,11,6,0,0,0,6,0,0,0
GoPie,TestCustomDefaultShellCompDirective,11,6,0,0,0,6,0,0,0
GoPie,TestCustomDefaultShellCompDirective,11,6,0,0,0,6,0,0,0
GoPie,TestCustomDefaultShellCompDirective,11,6,0,0,0,6,0,0,0
GoPie,TestCustomDefaultShellCompDirective,11,6,0,0,0,6,0,0,0
GoPie,TestCustomDefaultShellCompDirective,11,6,0,0,0,6,0,0,0
GoPie,TestCustomDefaultShellCompDirective,11,6,0,0,0,6,0,0,0
GoPie,TestCustomDefaultShellCompDirective,11,6,0,0,0,6,0,0,0
GoPie,TestCustomDefaultShellCompDirective,11,6,0,0,0,6,0,0,0
GoPie,TestCustomDefaultShellCompDirective,11,6,0,0,0,6,0,0,0
GoPie,TestCustomDefaultShellCompDirective,11,6,0,0,0,6,0,0,0
GoPie,TestCustomDefaultShellCompDirective,11,6,0,0,0,6,0,0,0
GoPie,TestCustomDefaultShellCompDirective,11,6,0,0,0,6,0,0,0
GoPie,TestCustomDefaultShellCompDirective,11,6,0,0,0,6,0,0,0
GoPie,TestCustomDefaultShellCompDirective,11,6,0,0,0,6,0,0,0
GoPie,TestCustomDefaultShellCompDirective,11,6,0,0,0,6,0,0,0
GoPie,TestCustomDefaultShellCompDirective,11,6,0,0,0,6,0,0,0
GoPie,TestCustomDefaultShellCompDirective,11,6,0,0,0,6,0,0,0
GoPie,TestCustomDefaultShellCompDirective,11,6,0,0,0,6,0,0,0
GoPie,TestCustomDefaultShellCompDirective,11,6,0,0,0,6,0,0,0
GoPie,TestCustomDefaultShellCompDirective,11,6,0,0,0,6,0,0,0
GoPie,TestCustomDefaultShellCompDirective,11,6,0,0,0,6,0,0,0
GoPie,TestCustomDefaultShellCompDirective,11,6,0,0,0,6,0,0,0
GoPie,TestCustomDefaultShellCompDirective,11,6,0,0,0,6,0,0,0
GoPie,TestCustomDefaultShellCompDirective,11,6,0,0,0,6,0,0,0
GoPie,TestCustomDefaultShellCompDirective,11,6,0,0,0,6,0,0,0
GoPie,TestCustomDefaultShellCompDirective,11,6,0,0,0,6,0,0,0
GoPie,TestCustomDefaultShellCompDirective,11,6,0,0,0,6,0,0,0
GoPie,TestCustomDefaultShellCompDirective,11,6,0,0,0,6,0,0,0
GoPie,TestCustomDefaultShellCompDirective,11,6,0,0,0,6,0,0,0
GoPieHB,TestCustomDefaultShellCompDirective,10,4,0,0,0,6,0,0,0
GoPieHB,TestCustomDefaultShellCompDirective,3,13,0,0,0,2,0,0,0
