TestName,NoEvents,NoGoroutines,NoAtomicEvents,NoChannelEvents,NoSelectEvents,NoMutexEvents,NoWaitgroupEvents,NoCondVariablesEvents,NoOnceOperations
TestFlagCompletionConcurrentRegistration,314,51,0,0,0,112,101,0,0
TestFlagCompletionConcurrentRegistration,315,53,0,0,0,112,101,0,0
TestFlagCompletionConcurrentRegistration,52,22,0,0,0,26,13,0,0
TestFlagCompletionConcurrentRegistration,33,18,0,0,0,16,8,0,0
TestFlagCompletionConcurrentRegistration,69,29,0,0,0,34,17,0,0
TestFlagCompletionConcurrentRegistration,38,21,0,0,0,18,10,0,0
TestFlagCompletionConcurrentRegistration,53,24,0,0,0,26,14,0,0
TestFlagCompletionConcurrentRegistration,315,53,0,0,0,112,101,0,0
TestFlagCompletionConcurrentRegistration,88,32,0,0,0,44,22,0,0
TestFlagCompletionConcurrentRegistration,61,23,0,0,0,31,15,0,0
TestFlagCompletionConcurrentRegistration,315,53,0,0,0,112,101,0,0
TestFlagCompletionConcurrentRegistration,315,53,0,0,0,112,101,0,0
TestFlagCompletionConcurrentRegistration,68,27,0,0,0,34,17,0,0
TestFlagCompletionConcurrentRegistration,315,53,0,0,0,112,101,0,0
TestFlagCompletionConcurrentRegistration,315,53,0,0,0,112,101,0,0
TestFlagCompletionConcurrentRegistration,68,23,0,0,0,34,17,0,0
TestFlagCompletionConcurrentRegistration,315,53,0,0,0,112,101,0,0
TestFlagCompletionConcurrentRegistration,315,53,0,0,0,112,101,0,0
TestFlagCompletionConcurrentRegistration,81,27,0,0,0,41,20,0,0
TestFlagCompletionConcurrentRegistration,46,23,0,0,0,22,12,0,0
TestFlagCompletionConcurrentRegistration,17,17,0,0,0,9,4,0,0
TestFlagCompletionConcurrentRegistration,315,53,0,0,0,112,101,0,0
TestFlagCompletionConcurrentRegistration,315,53,0,0,0,112,101,0,0
TestFlagCompletionConcurrentRegistration,315,53,0,0,0,112,101,0,0
TestFlagCompletionConcurrentRegistration,30,22,0,0,0,16,7,0,0
TestFlagCompletionConcurrentRegistration,49,22,0,0,0,24,13,0,0
TestFlagCompletionConcurrentRegistration,315,53,0,0,0,112,101,0,0
TestFlagCompletionConcurrentRegistration,315,53,0,0,0,112,101,0,0
TestFlagCompletionConcurrentRegistration,76,27,0,0,0,38,19,0,0
TestFlagCompletionConcurrentRegistration,0,0,0,0,0,0,0,0,0
