Test,Flow,GFuzz,GFuzzHB,GFuzzHBFlow,GoPie,GoPie+,GoPieHB
TestActiveHelpAlone,0.87837,1.86738,0.86496,0.84067,0.8515,0.88336,0.8493
TestActiveHelpForFlag,0.78439,1.43216,0.74887,0.80957,0.78441,0.79716,0.82791
TestActiveHelpWithComps,0.99001,1.67112,0.9331,0.86262,0.94999,0.98823,1.09803
TestAddGroup,1.23541,1.90087,1.22653,1.2456,1.24449,1.21924,1.24131
TestAddTemplateFunctions,0.93222,1.53572,0.96553,0.90309,0.98879,0.93593,0.89851
TestAliasPrefixMatching,0.88514,1.30419,0.78705,0.79506,0.82014,0.82876,0.83623
TestArbitraryArgs,1.12069,2.44157,1.19112,1.05989,1.06649,1.05785,1.09868
TestArbitraryArgs_WithValid,1.19955,1.93239,1.28532,1.2421,1.30663,1.28336,1.56428
TestArbitraryArgs_WithValidOnly_WithInvalidArgs,1.38341,2.67181,1.43527,1.38212,1.43004,1.40897,1.40697
TestArbitraryArgs_WithValid_WithInvalidArgs,1.33595,2.95745,1.48675,1.40811,1.37833,1.42201,1.40057
TestArgAliasesCompletionInGo,1.00926,1.53196,0.99351,1.0529,1.04762,1.05747,1.06708
TestArgsNotDetectedAsFlagsCompletionInGo,1.08627,1.57374,1.0578,1.10075,1.05265,1.08272,1.07909
TestBashCompletionDeprecatedFlag,0.93296,1.4827,0.89621,0.89895,0.93139,0.91838,0.93525
TestBashCompletionHiddenFlag,0.92392,1.52693,0.94945,0.92976,0.87121,0.92382,0.96026
TestBashCompletionNoActiveHelp,0.93282,1.55161,0.90461,0.95741,0.96061,0.91715,0.93938
TestBashCompletionTraverseChildren,0.74999,1.57148,0.88101,0.77898,0.88426,0.92483,0.90367
TestBashCompletionV2WithActiveHelp,1.05643,1.60991,0.97242,1.11728,1.05489,1.04746,1.08547
TestBashCompletions,1.09635,1.87006,1.08982,1.11367,1.07728,1.00551,0.95507
TestCallCommandWithoutSubcommands,0.78911,1.31977,0.78166,0.79239,0.79016,0.78767,0.80127
TestCalledAs,1.33362,1.9189,1.3187,1.29656,1.28673,1.34019,1.28779
TestCaseInsensitive,0.96477,1.76728,1.03816,1.02212,0.94507,0.95485,0.94837
TestCaseSensitivityBackwardCompatibility,0.93385,1.47038,0.93411,0.94243,0.958,0.93903,0.93106
TestChildCommand,0.80578,1.30221,0.77308,0.79102,0.80383,0.79036,0.78764
TestChildFlag,0.83543,1.33075,0.82329,0.8288,0.83171,0.83453,0.8486
TestChildFlagShadowsParentPersistentFlag,1.10114,1.32465,0.94006,0.96024,0.91586,0.92456,0.84268
TestChildFlagWithParentLocalFlag,0.80588,1.36222,0.80294,0.85172,0.84332,0.82647,0.83381
TestChildSameName,0.81527,1.40223,0.79693,0.80455,0.78514,0.81571,0.82097
TestChildTakesArgs,0.98037,1.71496,0.9802,1.01354,0.97812,0.9561,0.99008
TestChildTakesNoArgs,0.91558,1.58537,0.89012,0.95439,0.893,1.02232,0.97752
TestCmdNameCompletionInGo,1.32768,2.0494,1.29689,1.35001,1.34617,1.35295,1.34877
TestCommandAlias,0.83651,1.33258,0.77952,0.83632,0.80023,0.78924,0.83427
TestCommandPrintRedirection,1.2471,1.99886,1.29135,1.2782,1.27021,1.27017,1.24423
TestCommandsAreSorted,0.97758,1.52409,0.96926,0.95716,0.97012,0.94945,0.93831
TestCompleteCmdInBashScript,1.38067,2.08644,1.38275,1.35262,1.4015,1.3701,1.40228
TestCompleteCmdInFishScript,1.09679,1.58212,1.11057,1.08679,1.06401,1.07219,1.12932
TestCompleteCmdInZshScript,1.4051,2.0625,1.35498,1.37269,1.37946,1.36346,1.3017
