Mode,TestName,Run,Recording,Io,Analysis,AnaHb,AnaExitCode,AnaLeak,AnaClose,AnaConcurrent,AnaResource,AnaSelWithoutPartner,AnaUnlock,AnaWait,AnaMixed,FuzzingAna,FuzzingMut,Rewrite,Replay,NumberReplay
Flow,TestContextCopyShouldNotCancel,0.55101,0.64755,0.00028,0.00019,0.00003,0.00000,0.00001,0.00001,0.00000,0.00001,0.00000,0.00000,0.00005,0.00000,0.00000,0.00000,0.00001,0.00009,0
GFuzz,TestContextCopyShouldNotCancel,0.49788,1.29821,0.00018,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GFuzzHB,TestContextCopyShouldNotCancel,0.53647,0.65199,0.00030,0.00023,0.00003,0.00000,0.00001,0.00001,0.00000,0.00001,0.00000,0.00000,0.00006,0.00000,0.00000,0.00000,0.00001,0.00011,0
GFuzzHBFlow,TestContextCopyShouldNotCancel,0.57933,0.67577,0.00026,0.00021,0.00003,0.00000,0.00001,0.00001,0.00000,0.00001,0.00000,0.00000,0.00005,0.00000,0.00000,0.00000,0.00001,0.00009,0
GoPie+,TestContextCopyShouldNotCancel,0.49443,0.63025,0.00019,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GoPie+,TestContextCopyShouldNotCancel,0.49443,70.61586,0.00011,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GoPie,TestContextCopyShouldNotCancel,0.56099,0.66933,0.00027,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GoPie,TestContextCopyShouldNotCancel,0.56099,71.19696,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GoPieHB,TestContextCopyShouldNotCancel,0.50153,0.64441,0.00072,0.00028,0.00003,0.00000,0.00001,0.00002,0.00000,0.00002,0.00000,0.00000,0.00007,0.00000,0.00000,0.00000,0.00002,0.00013,0
GoPieHB,TestContextCopyShouldNotCancel,0.50153,70.59391,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
