Mode,TestName,Run,Recording,Io,Analysis,AnaHb,AnaExitCode,AnaLeak,AnaClose,AnaConcurrent,AnaResource,AnaSelWithoutPartner,AnaUnlock,AnaWait,AnaMixed,FuzzingAna,FuzzingMut,Rewrite,Replay,NumberReplay
Flow,TestDebugPrintError,0.55395,0.62594,0.00009,0.00015,0.00002,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00006,0.00000,0.00001,0.00000,0.00000,0.00009,0
GFuzz,TestDebugPrintError,0.50816,1.24147,0.00009,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GFuzzHB,TestDebugPrintError,0.53863,0.64514,0.00009,0.00022,0.00002,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00012,0.00000,0.00001,0.00000,0.00000,0.00010,0
GFuzzHBFlow,TestDebugPrintError,0.56406,0.63952,0.00009,0.00015,0.00003,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00006,0.00000,0.00001,0.00000,0.00000,0.00009,0
GoPie+,TestDebugPrintError,0.49106,0.62356,0.00020,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GoPie+,TestDebugPrintError,0.49106,0.68639,0.00009,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GoPie+,TestDebugPrintError,0.49106,70.59670,0.00004,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GoPie,TestDebugPrintError,0.58119,0.65430,0.00009,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GoPie,TestDebugPrintError,0.58119,1.27938,0.00011,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GoPie,TestDebugPrintError,0.58119,71.24431,0.00005,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GoPieHB,TestDebugPrintError,0.52049,0.63908,0.00010,0.00015,0.00003,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00006,0.00000,0.00001,0.00000,0.00000,0.00009,0
GoPieHB,TestDebugPrintError,0.52049,1.61698,0.00006,0.00006,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00005,0
GoPieHB,TestDebugPrintError,0.52049,0.59142,0.00011,0.00011,0.00002,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00002,0.00000,0.00001,0.00000,0.00000,0.00008,0
GoPieHB,TestDebugPrintError,0.52049,1.27686,0.00012,0.00016,0.00004,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00005,0.00000,0.00001,0.00000,0.00000,0.00010,0
GoPieHB,TestDebugPrintError,0.52049,71.15743,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
