Mode,TestName,Run,Recording,Io,Analysis,AnaHb,AnaExitCode,AnaLeak,AnaClose,AnaConcurrent,AnaResource,AnaSelWithoutPartner,AnaUnlock,AnaWait,AnaMixed,FuzzingAna,FuzzingMut,Rewrite,Replay,NumberReplay
Flow,TestDebugPrintLoadTemplate,0.55340,0.63422,0.00009,0.00013,0.00002,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00005,0.00000,0.00001,0.00000,0.00000,0.00009,0
GFuzz,TestDebugPrintLoadTemplate,0.49879,1.24088,0.00010,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GFuzzHB,TestDebugPrintLoadTemplate,0.55651,0.63508,0.00009,0.00015,0.00003,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00006,0.00000,0.00001,0.00000,0.00000,0.00011,0
GFuzzHBFlow,TestDebugPrintLoadTemplate,0.58000,0.64215,0.00011,0.00016,0.00005,0.00000,0.00000,0.00000,0.00003,0.00000,0.00000,0.00000,0.00006,0.00000,0.00003,0.00000,0.00000,0.00010,0
GoPie+,TestDebugPrintLoadTemplate,0.50950,0.60715,0.00011,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GoPie+,TestDebugPrintLoadTemplate,0.50950,70.59150,0.00002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GoPie,TestDebugPrintLoadTemplate,0.56616,0.63935,0.00010,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GoPie,TestDebugPrintLoadTemplate,0.56616,71.28302,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GoPieHB,TestDebugPrintLoadTemplate,0.50452,0.62197,0.00006,0.00010,0.00002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00004,0.00000,0.00000,0.00000,0.00000,0.00006,0
GoPieHB,TestDebugPrintLoadTemplate,0.50452,0.63952,0.00012,0.00011,0.00002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00002,0.00000,0.00001,0.00000,0.00000,0.00009,0
GoPieHB,TestDebugPrintLoadTemplate,0.50452,1.29399,0.00013,0.00016,0.00003,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00006,0.00000,0.00001,0.00000,0.00000,0.00010,0
GoPieHB,TestDebugPrintLoadTemplate,0.50452,1.31593,0.00010,0.00011,0.00002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00004,0.00000,0.00001,0.00000,0.00000,0.00007,0
GoPieHB,TestDebugPrintLoadTemplate,0.50452,2.26681,0.00009,0.00009,0.00002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00002,0.00000,0.00001,0.00000,0.00000,0.00007,0
GoPieHB,TestDebugPrintLoadTemplate,0.50452,71.13689,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
