Mode,TestName,NoEvents,NoGoroutines,NoAtomicEvents,NoChannelEvents,NoSelectEvents,NoMutexEvents,NoWaitgroupEvents,NoCondVariablesEvents,NoOnceOperations
Flow,TestDebugPrintWARNINGSetHTMLTemplate,12,2,3,2,0,0,3,0,0
GFuzz,TestDebugPrintWARNINGSetHTMLTemplate,12,2,3,2,0,0,3,0,0
GFuzzHB,TestDebugPrintWARNINGSetHTMLTemplate,12,2,3,2,0,0,3,0,0
GFuzzHBFlow,TestDebugPrintWARNINGSetHTMLTemplate,12,2,3,2,0,0,3,0,0
GoPie+,TestDebugPrintWARNINGSetHTMLTemplate,12,2,3,2,0,0,3,0,0
GoPie,TestDebugPrintWARNINGSetHTMLTemplate,12,2,3,2,0,0,3,0,0
GoPie,TestDebugPrintWARNINGSetHTMLTemplate,13,4,3,2,0,0,3,0,0
GoPie,TestDebugPrintWARNINGSetHTMLTemplate,13,4,3,2,0,0,3,0,0
GoPie,TestDebugPrintWARNINGSetHTMLTemplate,13,4,3,2,0,0,3,0,0
GoPieHB,TestDebugPrintWARNINGSetHTMLTemplate,12,2,3,2,0,0,3,0,0
