Mode,TestName,Run,Recording,Io,Analysis,AnaHb,AnaExitCode,AnaLeak,AnaClose,AnaConcurrent,AnaResource,AnaSelWithoutPartner,AnaUnlock,AnaWait,AnaMixed,FuzzingAna,FuzzingMut,Rewrite,Replay,NumberReplay
Flow,TestH2c,0.57733,0.76357,0.00121,0.00200,0.00034,0.00000,0.00008,0.00003,0.00002,0.00007,0.00076,0.00015,0.00000,0.00000,0.00003,0.00000,0.00290,60.72892,1
GFuzz,TestH2c,0.62211,1.53684,0.00060,0.00001,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GFuzz,TestH2c,0.62211,1.54087,0.00062,0.00001,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GFuzz,TestH2c,0.62211,0.70951,0.00043,0.00001,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GFuzz,TestH2c,0.62211,2.73177,0.00065,0.00001,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GFuzz,TestH2c,0.62211,0.65973,0.00055,0.00002,0.00000,0.00000,0.00002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GFuzz,TestH2c,0.62211,0.75097,0.00047,0.00002,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GFuzz,TestH2c,0.62211,2.64146,0.00034,0.00001,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GFuzz,TestH2c,0.62211,0.67424,0.00043,0.00001,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GFuzz,TestH2c,0.62211,0.68952,0.00047,0.00001,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GFuzz,TestH2c,0.62211,2.61435,0.00029,0.00001,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GFuzz,TestH2c,0.62211,0.61859,0.00055,0.00001,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GFuzz,TestH2c,0.62211,2.58871,0.00051,0.00001,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GFuzz,TestH2c,0.62211,660.53290,0.00028,0.00001,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GFuzzHB,TestH2c,0.65542,0.92740,0.00237,0.00245,0.00042,0.00000,0.00010,0.00006,0.00002,0.00011,0.00080,0.00016,0.00000,0.00000,0.00003,0.00000,0.00392,662.19504,1
GFuzzHBFlow,TestH2c,0.60794,0.89358,0.00194,0.00252,0.00039,0.00000,0.00009,0.00004,0.00003,0.00008,0.00109,0.00016,0.00000,0.00000,0.00003,0.00000,0.00297,0.79115,1
GFuzzHBFlow,TestH2c,0.60794,2.70304,0.00042,0.00024,0.00009,0.00000,0.00001,0.00000,0.00000,0.00002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GFuzzHBFlow,TestH2c,0.60794,2.72582,0.00037,0.00007,0.00002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GFuzzHBFlow,TestH2c,0.60794,0.75465,0.00052,0.00046,0.00013,0.00000,0.00006,0.00000,0.00000,0.00009,0.00001,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GFuzzHBFlow,TestH2c,0.60794,2.64271,0.00033,0.00022,0.00005,0.00000,0.00001,0.00000,0.00000,0.00001,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GFuzzHBFlow,TestH2c,0.60794,0.69801,0.00054,0.00073,0.00009,0.00000,0.00002,0.00000,0.00000,0.00010,0.00014,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GFuzzHBFlow,TestH2c,0.60794,2.61678,0.00034,0.00022,0.00003,0.00000,0.00002,0.00000,0.00000,0.00000,0.00004,0.00000,0.00000,0.00000,0.00000,0.00000,0.00020,0.00008,0
GFuzzHBFlow,TestH2c,0.60794,0.67303,0.00180,0.00207,0.00037,0.00000,0.00008,0.00004,0.00002,0.00008,0.00081,0.00001,0.00000,0.00000,0.00003,0.00000,0.00240,60.61017,1
GoPie+,TestH2c,0.59393,0.73891,0.00053,0.00003,0.00000,0.00000,0.00003,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GoPie+,TestH2c,0.59393,70.76620,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GoPie,TestH2c,0.75215,0.83795,0.00053,0.00002,0.00000,0.00000,0.00002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
