Test,Flow,GFuzz,GFuzzHB,GFuzzHBFlow,GoPie,GoPie+,GoPieHB
TestAddRoute,1.9256,2.68881,1.92975,1.88491,1.84632,2.06415,2.13192
TestAddRouteFails,1.88922,2.81864,1.89837,2.12108,1.97912,1.89008,1.81636
TestBadFileDescriptor,1.55831,2.14138,1.56554,1.62988,1.58986,1.5428,1.56426
TestBadListener,2.17958,3.00374,2.1751,2.1397,2.06603,2.11791,2.11998
TestBadTrustedCIDRs,1.55714,2.0869,1.59248,1.57649,1.59597,1.54165,1.50918
TestBadUnixSocket,1.57094,2.12939,1.5466,1.60511,1.58931,1.5876,1.55215
TestBasicAuth,2.24881,8.15559,2.25677,2.28969,2.24443,2.03902,2.75192
TestBasicAuth401,2.65788,4.37959,2.72023,2.86911,2.87353,2.65522,2.74061
TestBasicAuth401WithCustomRealm,2.53742,4.32967,2.64466,2.5361,2.54648,2.6671,2.59087
TestBasicAuthAuthorizationHeader,2.33129,3.82869,2.34314,2.32076,2.13201,2.04368,2.1667
TestBasicAuthFails,4.12126,4.74856,6.10431,2.95673,3.40413,2.84686,2.98268
TestBasicAuthForProxy407,2.18075,3.73608,2.47432,2.05941,2.04575,2.0686,1.88579
TestBasicAuthForProxySucceed,2.55597,4.12954,2.5023,2.5335,2.68417,2.60224,2.47418
TestBasicAuthSearchCredential,2.39215,4.1241,2.21465,2.37399,2.30833,2.47823,2.39101
TestBasicAuthSucceed,2.67934,3.63443,2.44825,3.25586,3.06199,2.631,2.91047
TestBindMiddleware,2.01589,3.0522,2.0159,2.27926,2.10507,2.24517,2.64726
TestBindUri,1.74699,2.52482,1.67922,1.79437,1.72513,1.76432,1.74768
TestBindUriError,1.70321,2.33204,1.65175,1.686,1.68177,1.70038,1.7237
TestBindWith,1.57752,2.19361,1.51239,1.51999,75.7565,662.11801,662.1467
TestCatchAllAfterSlash,1.93187,2.51863,1.83723,1.86624,1.94494,1.85282,1.8959
TestChooseData,1.8735,2.53945,1.9207,1.85524,1.94571,1.92953,1.9373
TestColorForMethod,1.7273,2.72943,1.89237,1.79367,1.73402,1.73248,1.78614
TestColorForStatus,1.71,2.55305,1.85631,1.8327,1.76729,1.75022,1.77385
TestConcurrentHandleContext,2.28451,3.00659,2.20246,2.3351,2.30917,666.66397,665.29642
TestContextAbortWithError,1.4364,2.04164,1.41374,1.39337,1.42007,1.47889,1.4151
TestContextAbortWithStatus,1.92439,2.82863,1.89855,1.90968,1.88161,1.94897,1.95748
TestContextAbortWithStatusJSON,1.82992,2.67709,1.91093,1.89968,1.94312,1.86119,1.89606
TestContextAddParam,1.52458,2.05771,1.5177,1.56655,1.64802,1.52652,1.52439
TestContextAutoBindJSON,1.39932,2.08012,1.4364,1.41405,1.42936,1.6431,1.45386
TestContextAutoShouldBindJSON,1.45228,2.0686,1.47209,1.45288,1.4572,1.43402,1.44276
TestContextBadAutoBind,1.44812,2.03797,1.46881,1.41083,1.43997,1.45946,1.46056
TestContextBadAutoShouldBind,1.49509,2.07952,1.54527,1.47468,1.46066,1.38514,1.47819
TestContextBindHeader,1.44585,2.11879,1.41754,1.43408,1.44607,1.42279,1.41506
TestContextBindPlain,1.5782,2.22261,1.49322,1.52788,1.53241,1.41549,1.40183
TestContextBindRequestTooLarge,1.40671,2.09695,1.43543,1.49577,1.4385,1.4535,1.40474
TestContextBindWithJSON,1.44562,2.09872,1.47478,1.46823,1.47335,1.47865,1.48306
TestContextBindWithQuery,1.42098,2.05868,1.42203,1.43536,1.42783,1.39129,1.45845
TestContextBindWithTOML,1.48863,2.11296,1.50167,1.44194,1.43689,1.45865,1.42043
TestContextBindWithXML,1.51069,2.39123,1.54763,1.51521,1.48187,1.58416,1.50174
TestContextBindWithYAML,1.45512,2.13612,1.52877,1.45216,1.42325,1.45266,1.44232
TestContextBodyAllowedForStatus,1.78883,2.59544,1.77927,1.74155,1.78482,1.80017,1.76685
TestContextClientIP,1.40396,2.03601,1.41695,1.42203,1.42454,1.42229,1.42985
TestContextContentType,1.4277,2.01936,1.43157,1.40021,1.42704,1.40768,1.41421
TestContextCopy,1.72385,2.628,1.74477,1.77005,1.73785,1.6719,1.71487
TestContextCopyShouldNotCancel,1.51293,2.08611,1.50623,1.57322,72.86682,72.17977,72.17719
TestContextDefaultQueryOnEmptyRequest,1.76437,2.53305,1.72265,1.75,1.75536,1.74621,1.8536
TestContextError,1.92776,2.68934,1.84585,1.86573,1.8903,1.91794,1.87847
TestContextFormFile,2.10257,3.09863,1.92926,2.1005,1.96901,2.14091,1.95264
TestContextFormFileFailed,2.39486,3.23337,2.4174,2.31231,2.1439,1.93773,2.14682
TestContextGetCookie,1.79104,2.63185,1.76233,1.74629,1.72691,1.83897,1.77411
TestContextGetDuration,1.69963,2.5831,1.72442,1.74249,1.73742,1.78267,1.72032
TestContextGetFloat32,2.26293,3.56499,2.29385,2.2862,2.37525,2.22973,2.16476
TestContextGetFloat32Slice,1.78452,2.60387,1.79688,1.72636,1.71318,1.7322,1.75172
TestContextGetFloat64,2.36282,3.51886,2.3179,2.43534,1.97404,1.73761,1.69024
TestContextGetFloat64Slice,1.86157,2.65573,1.70672,1.72034,1.75956,1.77252,1.73011
TestContextGetInt,1.71052,2.51974,1.68579,1.70692,1.70344,1.72494,1.76006
TestContextGetInt16,1.83391,3.75414,1.98044,1.76317,1.6929,1.73712,1.66273
TestContextGetInt16Slice,1.69195,2.58262,1.73741,1.77166,1.76576,1.7025,1.97829
TestContextGetInt32,1.71768,2.57053,1.75194,1.75212,1.69987,1.74427,1.60476
TestContextGetInt32Slice,2.41009,3.83912,2.52367,2.34586,2.44491,2.46828,2.37613
TestContextGetInt64,1.66237,2.57731,1.67339,1.69487,1.70488,1.73584,1.75988
TestContextGetInt64Slice,2.46752,3.77908,2.49401,2.40724,2.44191,2.42452,2.42103
TestContextGetInt8,1.64159,2.62546,1.77555,1.7489,1.83325,2.25163,2.36874
TestContextGetInt8Slice,1.71098,2.65032,1.71666,1.82043,1.70662,1.74365,1.82705
TestContextGetIntSlice,1.7311,2.6344,1.7491,1.70755,1.69822,1.68699,1.7333
TestContextGetRawData,1.47948,2.15961,1.49421,1.44604,1.47425,1.47414,1.47228
TestContextGetString,1.9451,2.94868,1.98085,2.05708,2.07063,1.9397,1.76142
TestContextGetStringMap,1.73604,2.67825,1.78107,1.74308,1.73411,1.74536,1.74342
TestContextGetStringMapString,1.85547,2.6549,1.64607,1.73026,1.73544,1.86102,1.80023
TestContextGetStringMapStringSlice,1.71215,2.64556,1.82837,1.7731,1.69818,1.7103,1.72205
TestContextGetStringSlice,1.73506,2.73743,1.71593,1.78099,1.76487,1.77234,1.78802
TestContextGetTime,1.71079,2.55225,1.6793,1.66533,1.69136,1.71057,1.6715
TestContextGetUint,1.76305,2.57367,1.73147,1.69287,1.70496,1.73705,1.70451
TestContextGetUint16,1.77401,2.61308,1.64233,1.86107,2.10702,2.33843,2.56349
TestContextGetUint16Slice,1.76332,2.59919,1.73802,1.78658,1.67361,1.69165,1.72711
TestContextGetUint32,2.07881,3.67376,2.16753,2.16402,2.32995,2.3721,2.29951
TestContextGetUint32Slice,1.80229,2.65721,1.69651,1.74548,1.76704,1.70584,1.82317
TestContextGetUint64,2.22567,3.46807,2.36266,2.16062,2.24806,2.32079,2.36657
TestContextGetUint64Slice,1.73919,2.56841,1.72855,1.6917,1.75988,1.76754,1.73729
TestContextGetUint8,1.73095,2.58639,1.74146,1.70499,1.76836,1.72694,1.75392
TestContextGetUint8Slice,1.75586,2.63123,1.66002,1.67851,1.68019,1.68112,1.72307
TestContextGetUintSlice,2.41952,3.80908,2.4571,2.48155,2.56914,1.96908,1.83459
TestContextGolangContext,1.45407,2.12323,1.51609,1.50882,1.51398,1.45582,1.4569
TestContextHandler,1.82812,2.64954,1.74278,1.74673,1.67551,1.77694,1.73391
TestContextHandlerName,1.78948,2.59831,1.81866,1.81501,1.75377,1.78562,1.74053
TestContextHandlerNames,1.77321,2.56959,1.82744,1.70401,1.77822,1.67443,1.87167
TestContextHandlers,1.90507,3.5583,2.20763,1.90772,2.14962,2.54501,2.62666
TestContextHeaders,1.42839,2.05583,1.41172,1.34756,1.38218,1.37538,1.37363
TestContextInitQueryCache,1.75604,2.60605,1.77151,1.76174,1.70127,1.84016,1.7467
TestContextIsAborted,1.84896,2.90835,1.97294,1.88453,1.9318,1.91334,1.90935
TestContextMultipartForm,2.03782,3.0784,2.01687,2.24449,1.98055,1.93816,2.06628
TestContextNegotiationFormat,1.49738,2.037,1.43282,1.40856,1.40246,1.39999,1.40766
TestContextNegotiationFormat2,1.94601,2.79528,1.81907,1.91869,1.87707,1.80271,1.79168
TestContextNegotiationFormatCustom,1.87571,2.88163,1.7759,1.86668,1.81027,1.82586,1.81034
TestContextNegotiationFormatWithAccept,1.4352,2.13187,1.43187,1.41728,1.43523,1.41138,1.41772
TestContextNegotiationFormatWithWildcardAccept,1.83565,2.07425,1.82934,1.97919,1.84497,1.89937,1.90325
TestContextNegotiationNotSupport,1.38949,2.04695,1.37753,1.39346,1.39951,1.42283,1.37783
TestContextNegotiationWithHTML,1.38601,2.02524,1.41583,1.39087,1.4134,1.41328,1.38279
TestContextNegotiationWithJSON,1.37352,2.04173,1.43321,1.42087,1.50646,1.43359,1.39472
TestContextNegotiationWithTOML,1.40494,2.06888,1.40319,1.40819,1.37485,1.45431,1.38801
TestContextNegotiationWithXML,1.59838,2.04323,1.47289,1.89034,1.52176,1.40517,1.40691
TestContextNegotiationWithYAML,1.47711,2.03113,1.4581,1.37358,1.39756,1.41735,1.33183
TestContextNext,1.50347,2.08098,1.51837,1.49592,1.51277,1.50037,1.48478
TestContextPostFormMultipart,1.77466,2.74669,1.83243,1.70643,1.80795,1.72399,1.80271
TestContextQuery,1.721,2.71974,1.74926,1.76188,1.84249,1.7981,1.71622
TestContextQueryAndPostForm,1.76553,2.64801,1.73502,1.7554,1.75829,1.84178,1.79206
TestContextRenderAPIJSON,1.70838,2.61898,1.78704,1.7896,1.8543,1.79094,1.78691
TestContextRenderAndEscapeAttachment,1.44705,2.11923,1.55735,1.44518,1.457,1.49679,1.48428
TestContextRenderAttachment,1.54702,1.93323,1.51703,1.46235,1.42373,1.45729,1.43365
TestContextRenderData,1.31697,2.08142,1.40649,1.37681,1.39105,1.36457,1.3836
TestContextRenderDataFromReader,1.49709,2.19672,1.59138,1.50049,1.46108,1.46357,1.47533
TestContextRenderDataFromReaderNoHeaders,1.47721,2.14398,1.44839,1.48051,1.44469,1.4923,1.48006
TestContextRenderFile,1.34219,2.09164,1.44949,1.46397,1.47053,1.44338,1.49013
TestContextRenderFileFromFS,1.4405,2.02094,1.49183,1.46353,1.40949,1.45032,1.44337
TestContextRenderHTML,1.4043,2.10124,1.4055,1.38242,1.37035,1.38201,1.36324
TestContextRenderHTML2,1.3773,2.04525,1.41614,1.36503,76.66824,661.88109,661.89947
TestContextRenderHTMLString,1.34858,2.00648,1.37239,1.33435,1.36775,1.35694,1.37473
TestContextRenderIfErr,1.84758,2.60306,1.73134,1.89487,1.79991,1.71525,1.78227
TestContextRenderIndentedJSON,1.75238,2.72604,1.7278,1.7929,1.80102,1.82947,1.75956
TestContextRenderJSON,1.86715,2.64538,1.76049,1.8114,1.71931,1.79369,1.84535
TestContextRenderJSONP,1.84128,2.62584,1.87947,1.90618,1.76908,1.73209,1.85262
TestContextRenderJSONPWithoutCallback,1.78864,2.63305,1.77033,1.65324,1.8035,1.74833,1.86554
TestContextRenderNoContentAPIJSON,1.83725,2.701,1.70104,1.83991,1.7297,1.74888,1.78113
