Mode,TestName,NoEvents,NoGoroutines,NoAtomicEvents,NoChannelEvents,NoSelectEvents,NoMutexEvents,NoWaitgroupEvents,NoCondVariablesEvents,NoOnceOperations
Flow,TestBufferedDrainSlow,8,2,0,4,0,0,0,0,0
GFuzz,TestBufferedDrainSlow,8,2,0,4,0,0,0,0,0
GFuzzHB,TestBufferedDrainSlow,8,2,0,4,0,0,0,0,0
GFuzzHBFlow,TestBufferedDrainSlow,8,2,0,4,0,0,0,0,0
GoPie+,TestBufferedDrainSlow,8,2,0,4,0,0,0,0,0
GoPie+,TestBufferedDrainSlow,9,4,0,4,0,0,0,0,0
GoPie+,TestBufferedDrainSlow,9,26,0,4,0,0,0,0,0
GoPie+,TestBufferedDrainSlow,9,26,0,4,0,0,0,0,0
GoPie+,TestBufferedDrainSlow,9,4,0,4,0,0,0,0,0
GoPie+,TestBufferedDrainSlow,9,4,0,4,0,0,0,0,0
GoPie+,TestBufferedDrainSlow,9,26,0,4,0,0,0,0,0
GoPie+,TestBufferedDrainSlow,9,4,0,4,0,0,0,0,0
GoPie+,TestBufferedDrainSlow,9,26,0,4,0,0,0,0,0
GoPie+,TestBufferedDrainSlow,9,4,0,4,0,0,0,0,0
GoPie,TestBufferedDrainSlow,8,2,0,4,0,0,0,0,0
GoPie,TestBufferedDrainSlow,9,26,0,4,0,0,0,0,0
GoPieHB,TestBufferedDrainSlow,8,2,0,4,0,0,0,0,0
GoPieHB,TestBufferedDrainSlow,9,4,0,4,0,0,0,0,0
GoPieHB,TestBufferedDrainSlow,9,4,0,4,0,0,0,0,0
GoPieHB,TestBufferedDrainSlow,9,4,0,4,0,0,0,0,0
GoPieHB,TestBufferedDrainSlow,9,4,0,4,0,0,0,0,0
GoPieHB,TestBufferedDrainSlow,9,4,0,4,0,0,0,0,0
GoPieHB,TestBufferedDrainSlow,9,4,0,4,0,0,0,0,0
GoPieHB,TestBufferedDrainSlow,9,4,0,4,0,0,0,0,0
GoPieHB,TestBufferedDrainSlow,9,4,0,4,0,0,0,0,0
GoPieHB,TestBufferedDrainSlow,9,4,0,4,0,0,0,0,0
GoPieHB,TestBufferedDrainSlow,9,4,0,4,0,0,0,0,0
GoPieHB,TestBufferedDrainSlow,9,4,0,4,0,0,0,0,0
