Mode,TestName,NoEvents,NoGoroutines,NoAtomicEvents,NoChannelEvents,NoSelectEvents,NoMutexEvents,NoWaitgroupEvents,NoCondVariablesEvents,NoOnceOperations
Flow,TestA02_Mixed,6,2,0,2,0,0,0,0,0
GFuzz,TestA02_Mixed,6,2,0,2,0,0,0,0,0
GFuzzHB,TestA02_Mixed,6,2,0,2,0,0,0,0,0
GFuzzHBFlow,TestA02_Mixed,6,2,0,2,0,0,0,0,0
GoPie+,TestA02_Mixed,6,2,0,2,0,0,0,0,0
GoPie+,TestA02_Mixed,7,4,0,2,0,0,0,0,0
GoPie+,TestA02_Mixed,7,4,0,2,0,0,0,0,0
GoPie+,TestA02_Mixed,7,4,0,2,0,0,0,0,0
GoPie+,TestA02_Mixed,7,4,0,2,0,0,0,0,0
GoPie,TestA02_Mixed,6,2,0,2,0,0,0,0,0
GoPie,TestA02_Mixed,0,0,0,0,0,0,0,0,0
GoPieHB,TestA02_Mixed,6,2,0,2,0,0,0,0,0
GoPieHB,TestA02_Mixed,7,4,0,2,0,0,0,0,0
GoPieHB,TestA02_Mixed,7,4,0,2,0,0,0,0,0
GoPieHB,TestA02_Mixed,7,4,0,2,0,0,0,0,0
GoPieHB,TestA02_Mixed,7,4,0,2,0,0,0,0,0
