Mode,TestName,NoEvents,NoGoroutines,NoAtomicEvents,NoChannelEvents,NoSelectEvents,NoMutexEvents,NoWaitgroupEvents,NoCondVariablesEvents,NoOnceOperations
Flow,TestL01_UnbufferedLeakWithPartner,6,2,0,2,0,0,0,0,0
GFuzz,TestL01_UnbufferedLeakWithPartner,6,2,0,2,0,0,0,0,0
GFuzzHB,TestL01_UnbufferedLeakWithPartner,6,2,0,2,0,0,0,0,0
GFuzzHBFlow,TestL01_UnbufferedLeakWithPartner,6,2,0,2,0,0,0,0,0
GoPie+,TestL01_UnbufferedLeakWithPartner,6,2,0,2,0,0,0,0,0
GoPie+,TestL01_UnbufferedLeakWithPartner,7,4,0,2,0,0,0,0,0
GoPie+,TestL01_UnbufferedLeakWithPartner,7,4,0,2,0,0,0,0,0
GoPie+,TestL01_UnbufferedLeakWithPartner,7,4,0,2,0,0,0,0,0
GoPie+,TestL01_UnbufferedLeakWithPartner,7,26,0,2,0,0,0,0,0
GoPie+,TestL01_UnbufferedLeakWithPartner,7,4,0,2,0,0,0,0,0
GoPie+,TestL01_UnbufferedLeakWithPartner,7,4,0,2,0,0,0,0,0
GoPie,TestL01_UnbufferedLeakWithPartner,6,2,0,2,0,0,0,0,0
GoPie,TestL01_UnbufferedLeakWithPartner,7,4,0,2,0,0,0,0,0
GoPie,TestL01_UnbufferedLeakWithPartner,7,4,0,2,0,0,0,0,0
GoPie,TestL01_UnbufferedLeakWithPartner,7,26,0,2,0,0,0,0,0
GoPie,TestL01_UnbufferedLeakWithPartner,7,4,0,2,0,0,0,0,0
GoPie,TestL01_UnbufferedLeakWithPartner,7,4,0,2,0,0,0,0,0
GoPie,TestL01_UnbufferedLeakWithPartner,7,4,0,2,0,0,0,0,0
GoPie,TestL01_UnbufferedLeakWithPartner,7,4,0,2,0,0,0,0,0
GoPie,TestL01_UnbufferedLeakWithPartner,7,4,0,2,0,0,0,0,0
GoPie,TestL01_UnbufferedLeakWithPartner,7,4,0,2,0,0,0,0,0
GoPie,TestL01_UnbufferedLeakWithPartner,7,4,0,2,0,0,0,0,0
GoPie,TestL01_UnbufferedLeakWithPartner,7,4,0,2,0,0,0,0,0
GoPie,TestL01_UnbufferedLeakWithPartner,7,4,0,2,0,0,0,0,0
GoPie,TestL01_UnbufferedLeakWithPartner,7,4,0,2,0,0,0,0,0
GoPie,TestL01_UnbufferedLeakWithPartner,7,4,0,2,0,0,0,0,0
GoPie,TestL01_UnbufferedLeakWithPartner,7,4,0,2,0,0,0,0,0
GoPie,TestL01_UnbufferedLeakWithPartner,7,4,0,2,0,0,0,0,0
GoPie,TestL01_UnbufferedLeakWithPartner,7,4,0,2,0,0,0,0,0
GoPie,TestL01_UnbufferedLeakWithPartner,7,4,0,2,0,0,0,0,0
GoPie,TestL01_UnbufferedLeakWithPartner,7,4,0,2,0,0,0,0,0
GoPie,TestL01_UnbufferedLeakWithPartner,7,4,0,2,0,0,0,0,0
GoPie,TestL01_UnbufferedLeakWithPartner,7,4,0,2,0,0,0,0,0
GoPie,TestL01_UnbufferedLeakWithPartner,7,4,0,2,0,0,0,0,0
GoPie,TestL01_UnbufferedLeakWithPartner,7,4,0,2,0,0,0,0,0
GoPie,TestL01_UnbufferedLeakWithPartner,7,4,0,2,0,0,0,0,0
GoPie,TestL01_UnbufferedLeakWithPartner,7,4,0,2,0,0,0,0,0
GoPie,TestL01_UnbufferedLeakWithPartner,7,4,0,2,0,0,0,0,0
