Mode,TestName,NoEvents,NoGoroutines,NoAtomicEvents,NoChannelEvents,NoSelectEvents,NoMutexEvents,NoWaitgroupEvents,NoCondVariablesEvents,NoOnceOperations
Flow,TestL08_LeakOnMutex,6,2,0,0,0,3,0,0,0
GFuzz,TestL08_LeakOnMutex,6,2,0,0,0,3,0,0,0
GFuzzHB,TestL08_LeakOnMutex,6,2,0,0,0,3,0,0,0
GFuzzHBFlow,TestL08_LeakOnMutex,6,2,0,0,0,3,0,0,0
GoPie+,TestL08_LeakOnMutex,6,2,0,0,0,3,0,0,0
GoPie+,TestL08_LeakOnMutex,7,4,0,0,0,3,0,0,0
GoPie,TestL08_LeakOnMutex,6,2,0,0,0,3,0,0,0
GoPie,TestL08_LeakOnMutex,7,4,0,0,0,3,0,0,0
GoPie,TestL08_LeakOnMutex,7,4,0,0,0,3,0,0,0
GoPieHB,TestL08_LeakOnMutex,6,2,0,0,0,3,0,0,0
GoPieHB,TestL08_LeakOnMutex,7,4,0,0,0,3,0,0,0
GoPieHB,TestL08_LeakOnMutex,0,0,0,0,0,0,0,0,0
