Mode,TestName,Run,Recording,Io,Analysis,AnaHb,AnaExitCode,AnaLeak,AnaClose,AnaConcurrent,AnaResource,AnaSelWithoutPartner,AnaUnlock,AnaWait,AnaMixed,FuzzingAna,FuzzingMut,Rewrite,Replay,NumberReplay
Flow,TestL08_LeakOnMutex,0.19130,0.30004,0.00009,0.00016,0.00001,0.00000,0.00001,0.00000,0.00000,0.00002,0.00000,0.00005,0.00000,0.00000,0.00000,0.00000,0.00000,0.00004,0
GFuzz,TestL08_LeakOnMutex,0.20709,0.30562,0.00011,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GFuzzHB,TestL08_LeakOnMutex,0.21626,0.30368,0.00015,0.00014,0.00000,0.00000,0.00001,0.00000,0.00000,0.00002,0.00000,0.00006,0.00000,0.00000,0.00000,0.00000,0.00000,0.00006,0
GFuzzHBFlow,TestL08_LeakOnMutex,0.21019,0.31326,0.00013,0.00014,0.00000,0.00000,0.00001,0.00000,0.00000,0.00001,0.00000,0.00007,0.00000,0.00000,0.00000,0.00000,0.00000,0.00005,0
GoPie+,TestL08_LeakOnMutex,0.15712,0.27875,0.00005,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GoPie+,TestL08_LeakOnMutex,0.15712,0.29375,0.00010,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GoPie+,TestL08_LeakOnMutex,0.15712,70.25048,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GoPie,TestL08_LeakOnMutex,0.20045,0.30245,0.00008,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GoPie,TestL08_LeakOnMutex,0.20045,0.30843,0.00014,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GoPie,TestL08_LeakOnMutex,0.20045,0.35260,0.00012,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GoPie,TestL08_LeakOnMutex,0.20045,600.32620,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GoPieHB,TestL08_LeakOnMutex,0.16190,0.26930,0.00010,0.00022,0.00001,0.00000,0.00001,0.00000,0.00000,0.00002,0.00000,0.00009,0.00000,0.00000,0.00000,0.00000,0.00000,0.00006,0
GoPieHB,TestL08_LeakOnMutex,0.16190,0.29850,0.00010,0.00010,0.00000,0.00000,0.00001,0.00000,0.00000,0.00001,0.00000,0.00002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00004,0
GoPieHB,TestL08_LeakOnMutex,0.16190,600.20484,0.00002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00004,0
