Mode,TestName,Run,Recording,Io,Analysis,AnaHb,AnaExitCode,AnaLeak,AnaClose,AnaConcurrent,AnaResource,AnaSelWithoutPartner,AnaUnlock,AnaWait,AnaMixed,FuzzingAna,FuzzingMut,Rewrite,Replay,NumberReplay
Flow,TestMixed4,0.20484,0.38061,0.00067,0.00021,0.00012,0.00000,0.00000,0.00002,0.00006,0.00000,0.00000,0.00000,0.00000,0.00000,0.00006,0.00000,0.00055,60.30516,1
GFuzz,TestMixed4,0.16846,0.31410,0.00014,0.00001,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GFuzzHB,TestMixed4,0.20347,0.32402,0.00050,0.00014,0.00006,0.00000,0.00000,0.00002,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00043,60.26578,1
GFuzzHBFlow,TestMixed4,0.21271,0.33552,0.00085,0.00020,0.00012,0.00000,0.00000,0.00002,0.00005,0.00000,0.00000,0.00000,0.00000,0.00000,0.00005,0.00000,0.00074,4.26586,1
GoPie+,TestMixed4,0.18961,0.33529,0.00017,0.00001,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GoPie+,TestMixed4,0.18961,0.35716,0.00020,0.00002,0.00000,0.00000,0.00002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GoPie+,TestMixed4,0.18961,60.32183,0.00052,0.00001,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GoPie,TestMixed4,0.20391,0.40883,0.00024,0.00001,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GoPie,TestMixed4,0.20391,0.36587,0.00015,0.00001,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GoPie,TestMixed4,0.20391,0.37763,0.00016,0.00001,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GoPie,TestMixed4,0.20391,0.33966,0.00019,0.00001,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GoPie,TestMixed4,0.20391,70.32810,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
GoPieHB,TestMixed4,0.21193,0.33832,0.00084,0.00029,0.00016,0.00000,0.00000,0.00003,0.00008,0.00000,0.00000,0.00000,0.00000,0.00000,0.00008,0.00000,0.00066,60.25924,1
