Mode,TestName,NoEvents,NoGoroutines,NoAtomicEvents,NoChannelEvents,NoSelectEvents,NoMutexEvents,NoWaitgroupEvents,NoCondVariablesEvents,NoOnceOperations
Flow,TestP01_PossibleSendOnClosed,6,2,0,2,0,0,0,0,0
GFuzz,TestP01_PossibleSendOnClosed,6,2,0,2,0,0,0,0,0
GFuzzHB,TestP01_PossibleSendOnClosed,6,2,0,2,0,0,0,0,0
GFuzzHBFlow,TestP01_PossibleSendOnClosed,6,2,0,2,0,0,0,0,0
GoPie+,TestP01_PossibleSendOnClosed,6,2,0,2,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,6,2,0,2,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,7,4,0,2,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,7,26,0,2,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,7,26,0,2,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,7,4,0,2,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,7,4,0,2,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,7,4,0,2,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,7,4,0,2,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,7,4,0,2,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,7,4,0,2,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,7,4,0,2,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,7,4,0,2,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,7,4,0,2,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,7,4,0,2,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,7,4,0,2,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,7,4,0,2,0,0,0,0,0
GoPie,TestP01_PossibleSendOnClosed,7,4,0,2,0,0,0,0,0
