Test,Flow,GFuzz,GFuzzHB,GFuzzHBFlow,GoPie,GoPie+,GoPieHB
TestA00_UnknownPanic,0.60563,0.48927,0.55935,0.69934,0.6589,0.64223,0.64654
TestA01_Mixed,0.90976,0.83434,0.81807,0.88828,71.84718,2.56354,2.5505
TestA01_SendOnClosed,0.81011,0.88139,0.91839,0.81225,0.87154,0.75874,0.86381
TestA02_Mixed,0.83601,0.86162,0.77811,0.79277,71.2453,2.67573,2.85439
TestA02_ReceiveOnClosed,0.75919,0.87287,0.80723,0.92463,0.76244,0.83828,0.83735
TestA03_CloseOnClosed,0.8932,0.86183,0.79321,0.80115,0.78795,0.81864,0.8831
TestA03_Mixed,0.82732,0.83581,0.77447,0.7619,58.2699,72.73886,3.21278
TestA04_CloseOnNil,0.92301,0.86248,0.89355,0.89069,0.80669,0.81931,0.9263
TestA04_Mixed,0.86675,0.8221,0.76846,0.75666,0.82731,0.92351,0.81003
TestA05_NegativeWaitGroup,0.81485,0.88751,0.82807,0.82398,0.84814,0.84107,0.78704
TestA06_UnlockUnlocked,0.90811,0.94128,0.7877,0.8385,0.84639,0.89603,0.78939
TestA07_ConcurrentRecv,120.78229,120.84674,120.80016,120.82204,120.63273,120.54688,120.53284
TestL00_UnknownLeak,0.57951,0.5113,0.57141,0.60676,0.63448,0.59529,0.58131
TestL01_UnbufferedLeakWithPartner,0.55222,0.60269,0.58889,0.5643,43.18217,6.27728,2.79685
TestL02_UnbufferedLeakNoPartner,120.71963,120.776,120.64571,120.74282,120.64878,120.63852,120.63459
TestL03_BufferedLeakWithPartner,0.58027,0.47842,0.50159,0.59211,36.3647,604.5294,1.71104
TestL04_BufferedLeakNoPartner,0.55223,0.57024,0.57888,0.57956,0.60401,0.56005,0.57916
TestL05_LeakOnNilChan,60.53601,60.58852,60.4962,60.52739,60.52611,60.53078,60.51685
TestL06_LeakOnSelectWithPartner,0.50678,1.74625,2.90475,2.26665,0.52946,0.59531,0.5701
TestL07_LeakOnSelectWithoutPartner,0.65256,0.64551,0.65547,0.63321,0.66779,0.66789,0.67884
TestL08_LeakOnMutex,0.58595,0.60743,0.61628,0.61794,601.71758,71.1459,601.08988
TestL09_LeakOnWaitGroup,120.59346,120.58769,120.59762,120.57373,120.58181,120.61115,120.58736
TestL10_LeakOnCond,120.58091,120.57126,120.58151,120.59655,120.60525,120.59171,120.58728
TestMixed1,1.0775,0.89634,1.00165,1.00321,0.99307,0.98048,0.89797
TestMixed2,0.82223,0.8326,0.87341,0.88414,0.94122,0.85591,0.94182
TestMixed3,0.84853,1.00351,0.96988,0.93484,52.71061,601.84471,71.85489
TestMixed4,60.91503,0.5038,60.81822,4.83683,72.12044,61.2881,60.85569
TestP01_PossibleSendOnClosed,0.56884,0.50865,0.53784,0.58023,41.95334,70.82002,1.76371
TestP02_PossibleRecvOnClosed,0.57327,0.54436,0.60632,0.57945,71.26542,70.77884,70.68221
TestP03_PossibleNegativeWaitGroup,0.55715,0.48268,0.52311,0.56695,0.57872,70.91334,600.79522
