Test,Mode,Total_Time_s,Rec_s,Ana_s,Rep_s,Runs_per_Minute
TestMixed3,Flow,0.84853,0.43775,0.00037,0.00012,70.71
TestMixed3,GFuzz,1.00351,0.54047,3e-05,0.0,59.79
TestMixed3,GFuzzHB,0.96988,0.52569,0.0003,7e-05,61.86
TestMixed3,GFuzzHBFlow,0.93484,0.48275,0.00032,0.00012,64.18
TestMixed3,GoPie,52.71061,0.45289,2e-05,0.0,113.83
TestMixed3,GoPie+,601.84471,0.42631,3e-05,0.0,0.2
TestMixed3,GoPieHB,71.85489,0.37215,0.00014,4e-05,4.18
TestMixed2,Flow,0.82223,0.47288,0.00016,8e-05,72.97
TestMixed2,GFuzz,0.8326,0.43911,1e-05,0.0,72.06
TestMixed2,GFuzzHB,0.87341,0.47679,7e-05,5e-05,68.7
TestMixed2,GFuzzHBFlow,0.88414,0.48446,8e-05,5e-05,67.86
TestMixed2,GoPie,0.94122,0.54401,2e-05,0.0,63.75
TestMixed2,GoPie+,0.85591,0.46648,2e-05,0.0,70.1
TestMixed2,GoPieHB,0.94182,0.46412,0.00015,0.0001,63.71
TestA07_ConcurrentRecv,Flow,120.78229,60.40328,9e-05,5e-05,0.5
TestA07_ConcurrentRecv,GFuzz,120.84674,60.39906,1e-05,0.0,0.5
TestA07_ConcurrentRecv,GFuzzHB,120.80016,60.38956,0.0001,6e-05,0.5
TestA07_ConcurrentRecv,GFuzzHBFlow,120.82204,60.46096,6e-05,7e-05,0.5
TestA07_ConcurrentRecv,GoPie,120.63273,60.32519,1e-05,0.0,0.5
TestA07_ConcurrentRecv,GoPie+,120.54688,60.29183,2e-05,0.0,0.5
TestA07_ConcurrentRecv,GoPieHB,120.53284,60.26971,7e-05,0.0001,0.5
TestL03_BufferedLeakWithPartner,Flow,0.58027,0.30195,0.00013,4e-05,103.4
TestL03_BufferedLeakWithPartner,GFuzz,0.47842,0.26134,0.0,0.0,125.41
TestL03_BufferedLeakWithPartner,GFuzzHB,0.50159,0.27128,0.00014,5e-05,119.62
TestL03_BufferedLeakWithPartner,GFuzzHBFlow,0.59211,0.30059,0.00014,5e-05,101.33
TestL03_BufferedLeakWithPartner,GoPie,36.3647,0.31834,0.0,0.0,165.0
TestL03_BufferedLeakWithPartner,GoPie+,604.5294,0.28388,0.0,0.0,0.3
TestL03_BufferedLeakWithPartner,GoPieHB,1.71104,0.24662,0.00014,5e-05,175.33
TestP02_PossibleRecvOnClosed,Flow,0.57327,0.30296,0.0001,4e-05,104.66
TestP02_PossibleRecvOnClosed,GFuzz,0.54436,0.29641,0.0,0.0,110.22
TestP02_PossibleRecvOnClosed,GFuzzHB,0.60632,0.32858,0.00011,5e-05,98.96
TestP02_PossibleRecvOnClosed,GFuzzHBFlow,0.57945,0.31552,0.0001,3e-05,103.55
TestP02_PossibleRecvOnClosed,GoPie,71.26542,0.27998,0.0,0.0,1.68
TestP02_PossibleRecvOnClosed,GoPie+,70.77884,0.27712,0.0,0.0,0.85
TestP02_PossibleRecvOnClosed,GoPieHB,70.68221,0.2607,0.00014,5e-05,0.85
TestL05_LeakOnNilChan,Flow,60.53601,0.24777,4e-05,5e-05,0.99
TestL05_LeakOnNilChan,GFuzz,60.58852,0.2482,1e-05,0.0,0.99
TestL05_LeakOnNilChan,GFuzzHB,60.4962,0.25173,6e-05,4e-05,0.99
TestL05_LeakOnNilChan,GFuzzHBFlow,60.52739,0.26139,3e-05,4e-05,0.99
TestL05_LeakOnNilChan,GoPie,60.52611,0.24556,1e-05,0.0,0.99
TestL05_LeakOnNilChan,GoPie+,60.53078,0.24736,1e-05,0.0,0.99
TestL05_LeakOnNilChan,GoPieHB,60.51685,0.2487,4e-05,5e-05,0.99
TestL01_UnbufferedLeakWithPartner,Flow,0.55222,0.29224,5e-05,2e-05,108.65
TestL01_UnbufferedLeakWithPartner,GFuzz,0.60269,0.30993,0.0,0.0,99.55
TestL01_UnbufferedLeakWithPartner,GFuzzHB,0.58889,0.30801,6e-05,4e-05,101.89
TestL01_UnbufferedLeakWithPartner,GFuzzHBFlow,0.5643,0.29717,7e-05,4e-05,106.33
TestL01_UnbufferedLeakWithPartner,GoPie,43.18217,0.31035,0.0,0.0,138.95
TestL01_UnbufferedLeakWithPartner,GoPie+,6.27728,0.34018,0.0,0.0,66.91
TestL01_UnbufferedLeakWithPartner,GoPieHB,2.79685,0.37587,8e-05,5e-05,128.72
TestA01_Mixed,Flow,0.90976,0.4908,0.00013,9e-05,65.95
TestA01_Mixed,GFuzz,0.83434,0.42531,1e-05,0.0,71.91
TestA01_Mixed,GFuzzHB,0.81807,0.43091,0.00015,0.00012,73.34
TestA01_Mixed,GFuzzHBFlow,0.88828,0.47814,0.00017,0.00012,67.55
TestA01_Mixed,GoPie,71.84718,0.44591,1e-05,0.0,2.51
TestA01_Mixed,GoPie+,2.56354,0.36119,1e-05,0.0,117.03
TestA01_Mixed,GoPieHB,2.5505,0.39406,8e-05,4e-05,117.62
TestMixed1,Flow,1.0775,0.58058,0.00028,0.00011,55.68
TestMixed1,GFuzz,0.89634,0.56967,2e-05,0.0,66.94
TestMixed1,GFuzzHB,1.00165,0.52553,0.00013,6e-05,59.9
TestMixed1,GFuzzHBFlow,1.00321,0.55812,0.00022,0.0001,59.81
TestMixed1,GoPie,0.99307,0.53841,2e-05,0.0,60.42
TestMixed1,GoPie+,0.98048,0.51693,1e-05,0.0,61.19
TestMixed1,GoPieHB,0.89797,0.5335,0.00011,0.00015,66.82
TestA03_Mixed,Flow,0.82732,0.45953,0.00015,0.00011,72.52
TestA03_Mixed,GFuzz,0.83581,0.48049,3e-05,0.0,71.79
TestA03_Mixed,GFuzzHB,0.77447,0.39621,0.00021,0.0001,77.47
TestA03_Mixed,GFuzzHBFlow,0.7619,0.42572,0.00015,0.0001,78.75
TestA03_Mixed,GoPie,58.2699,0.387,3e-05,0.0,102.97
TestA03_Mixed,GoPie+,72.73886,0.44295,2e-05,0.0,4.12
TestA03_Mixed,GoPieHB,3.21278,0.35856,0.0001,7e-05,112.05
TestL07_LeakOnSelectWithoutPartner,Flow,0.65256,0.34366,0.0001,4e-05,91.95
TestL07_LeakOnSelectWithoutPartner,GFuzz,0.64551,0.33073,0.0,0.0,92.95
TestL07_LeakOnSelectWithoutPartner,GFuzzHB,0.65547,0.34269,0.00012,0.00011,91.54
TestL07_LeakOnSelectWithoutPartner,GFuzzHBFlow,0.63321,0.33376,7e-05,2e-05,94.76
TestL07_LeakOnSelectWithoutPartner,GoPie,0.66779,0.34053,0.0,0.0,89.85
TestL07_LeakOnSelectWithoutPartner,GoPie+,0.66789,0.34043,0.0,0.0,89.84
TestL07_LeakOnSelectWithoutPartner,GoPieHB,0.67884,0.33846,0.0001,5e-05,88.39
TestMixed4,Flow,60.91503,0.38061,0.00021,60.30516,0.98
TestMixed4,GFuzz,0.5038,0.3141,1e-05,0.0,119.09
TestMixed4,GFuzzHB,60.81822,0.32402,0.00014,60.26578,0.99
TestMixed4,GFuzzHBFlow,4.83683,0.33552,0.0002,4.26586,12.4
TestMixed4,GoPie,72.12044,0.40883,1e-05,0.0,3.33
TestMixed4,GoPie+,61.2881,0.33529,1e-05,0.0,2.94
TestMixed4,GoPieHB,60.85569,0.33832,0.00029,60.25924,0.99
TestL09_LeakOnWaitGroup,Flow,120.59346,60.31405,6e-05,2e-05,0.5
TestL09_LeakOnWaitGroup,GFuzz,120.58769,60.30093,1e-05,0.0,0.5
TestL09_LeakOnWaitGroup,GFuzzHB,120.59762,60.31344,9e-05,3e-05,0.5
TestL09_LeakOnWaitGroup,GFuzzHBFlow,120.57373,60.30733,6e-05,2e-05,0.5
TestL09_LeakOnWaitGroup,GoPie,120.58181,60.30735,1e-05,0.0,0.5
TestL09_LeakOnWaitGroup,GoPie+,120.61115,60.31042,1e-05,0.0,0.5
TestL09_LeakOnWaitGroup,GoPieHB,120.58736,60.30869,0.0001,4e-05,0.5
TestL04_BufferedLeakNoPartner,Flow,0.55223,0.29172,5e-05,3e-05,108.65
TestL04_BufferedLeakNoPartner,GFuzz,0.57024,0.30921,0.0,0.0,105.22
TestL04_BufferedLeakNoPartner,GFuzzHB,0.57888,0.31202,5e-05,3e-05,103.65
TestL04_BufferedLeakNoPartner,GFuzzHBFlow,0.57956,0.2984,0.00011,4e-05,103.53
TestL04_BufferedLeakNoPartner,GoPie,0.60401,0.30177,0.0,0.0,99.34
TestL04_BufferedLeakNoPartner,GoPie+,0.56005,0.28722,0.0,0.0,107.13
TestL04_BufferedLeakNoPartner,GoPieHB,0.57916,0.30152,5e-05,4e-05,103.6
TestA02_Mixed,Flow,0.83601,0.43624,0.00014,8e-05,71.77
TestA02_Mixed,GFuzz,0.86162,0.50735,0.0,0.0,69.64
TestA02_Mixed,GFuzzHB,0.77811,0.4094,8e-05,6e-05,77.11
TestA02_Mixed,GFuzzHBFlow,0.79277,0.41847,0.00011,8e-05,75.68
TestA02_Mixed,GoPie,71.2453,0.44638,0.0,0.0,1.68
TestA02_Mixed,GoPie+,2.67573,0.39458,0.0,0.0,112.12
TestA02_Mixed,GoPieHB,2.85439,0.44851,9e-05,5e-05,105.1
TestL00_UnknownLeak,Flow,0.57951,0.31298,7e-05,4e-05,103.54
TestL00_UnknownLeak,GFuzz,0.5113,0.27002,1e-05,0.0,117.35
TestL00_UnknownLeak,GFuzzHB,0.57141,0.31323,9e-05,5e-05,105.0
TestL00_UnknownLeak,GFuzzHBFlow,0.60676,0.31683,7e-05,4e-05,98.89
TestL00_UnknownLeak,GoPie,0.63448,0.32039,1e-05,0.0,94.57
TestL00_UnknownLeak,GoPie+,0.59529,0.3124,1e-05,0.0,100.79
TestL00_UnknownLeak,GoPieHB,0.58131,0.31246,7e-05,5e-05,103.22
TestA05_NegativeWaitGroup,Flow,0.81485,0.43456,0.00014,0.0001,73.63
TestA05_NegativeWaitGroup,GFuzz,0.88751,0.43241,3e-05,0.0,67.6
TestA05_NegativeWaitGroup,GFuzzHB,0.82807,0.42988,0.00025,9e-05,72.46
TestA05_NegativeWaitGroup,GFuzzHBFlow,0.82398,0.4362,0.00016,6e-05,72.82
TestA05_NegativeWaitGroup,GoPie,0.84814,0.45448,2e-05,0.0,70.74
TestA05_NegativeWaitGroup,GoPie+,0.84107,0.4201,2e-05,0.0,71.34
TestA05_NegativeWaitGroup,GoPieHB,0.78704,0.43137,0.00014,7e-05,76.24
TestA04_Mixed,Flow,0.86675,0.48803,0.0001,0.00012,69.22
TestA04_Mixed,GFuzz,0.8221,0.43459,3e-05,0.0,72.98
TestA04_Mixed,GFuzzHB,0.76846,0.42128,0.0001,5e-05,78.08
TestA04_Mixed,GFuzzHBFlow,0.75666,0.39623,0.0001,6e-05,79.3
TestA04_Mixed,GoPie,0.82731,0.43664,2e-05,0.0,72.52
TestA04_Mixed,GoPie+,0.92351,0.53739,3e-05,0.0,64.97
TestA04_Mixed,GoPieHB,0.81003,0.41419,9e-05,6e-05,74.07
TestL10_LeakOnCond,Flow,120.58091,60.31044,5e-05,3e-05,0.5
TestL10_LeakOnCond,GFuzz,120.57126,60.26927,1e-05,0.0,0.5
TestL10_LeakOnCond,GFuzzHB,120.58151,60.30481,5e-05,3e-05,0.5
TestL10_LeakOnCond,GFuzzHBFlow,120.59655,60.30707,7e-05,5e-05,0.5
TestL10_LeakOnCond,GoPie,120.60525,60.30319,1e-05,0.0,0.5
TestL10_LeakOnCond,GoPie+,120.59171,60.31399,1e-05,0.0,0.5
TestL10_LeakOnCond,GoPieHB,120.58728,60.31669,6e-05,4e-05,0.5
TestL06_LeakOnSelectWithPartner,Flow,0.50678,0.2854,7e-05,4e-05,118.39
TestL06_LeakOnSelectWithPartner,GFuzz,1.74625,0.27754,0.0,0.0,103.08
TestL06_LeakOnSelectWithPartner,GFuzzHB,2.90475,0.30438,7e-05,5e-05,61.97
TestL06_LeakOnSelectWithPartner,GFuzzHBFlow,2.26665,0.30747,5e-05,3e-05,52.94
TestL06_LeakOnSelectWithPartner,GoPie,0.52946,0.28494,0.0,0.0,113.32
TestL06_LeakOnSelectWithPartner,GoPie+,0.59531,0.31562,0.0,0.0,100.79
TestL06_LeakOnSelectWithPartner,GoPieHB,0.5701,0.30367,7e-05,4e-05,105.24
TestA04_CloseOnNil,Flow,0.92301,0.47008,7e-05,6e-05,65.0
TestA04_CloseOnNil,GFuzz,0.86248,0.42651,1e-05,0.0,69.57
TestA04_CloseOnNil,GFuzzHB,0.89355,0.44798,0.0001,9e-05,67.15
TestA04_CloseOnNil,GFuzzHBFlow,0.89069,0.45463,7e-05,6e-05,67.36
TestA04_CloseOnNil,GoPie,0.80669,0.43443,1e-05,0.0,74.38
TestA04_CloseOnNil,GoPie+,0.81931,0.40582,1e-05,0.0,73.23
TestA04_CloseOnNil,GoPieHB,0.9263,0.55001,0.0001,9e-05,64.77
TestA06_UnlockUnlocked,Flow,0.90811,0.45741,8e-05,5e-05,66.07
TestA06_UnlockUnlocked,GFuzz,0.94128,0.48645,2e-05,0.0,63.74
TestA06_UnlockUnlocked,GFuzzHB,0.7877,0.39156,9e-05,6e-05,76.17
TestA06_UnlockUnlocked,GFuzzHBFlow,0.8385,0.48675,0.00029,0.00011,71.56
TestA06_UnlockUnlocked,GoPie,0.84639,0.3961,2e-05,0.0,70.89
TestA06_UnlockUnlocked,GoPie+,0.89603,0.47279,2e-05,0.0,66.96
TestA06_UnlockUnlocked,GoPieHB,0.78939,0.41739,7e-05,4e-05,76.01
TestP01_PossibleSendOnClosed,Flow,0.56884,0.30923,7e-05,7e-05,105.48
TestP01_PossibleSendOnClosed,GFuzz,0.50865,0.27438,1e-05,0.0,117.96
TestP01_PossibleSendOnClosed,GFuzzHB,0.53784,0.29938,7e-05,5e-05,111.56
TestP01_PossibleSendOnClosed,GFuzzHBFlow,0.58023,0.30817,9e-05,0.0001,103.41
TestP01_PossibleSendOnClosed,GoPie,41.95334,0.30108,1e-05,0.0,143.02
TestP01_PossibleSendOnClosed,GoPie+,70.82002,0.28025,1e-05,0.0,0.85
TestP01_PossibleSendOnClosed,GoPieHB,1.76371,0.28002,7e-05,4e-05,170.1
TestP03_PossibleNegativeWaitGroup,Flow,0.55715,0.29766,0.00014,5e-05,107.69
TestP03_PossibleNegativeWaitGroup,GFuzz,0.48268,0.27048,3e-05,0.0,124.31
TestP03_PossibleNegativeWaitGroup,GFuzzHB,0.52311,0.29036,9e-05,4e-05,114.7
TestP03_PossibleNegativeWaitGroup,GFuzzHBFlow,0.56695,0.30095,0.00015,6e-05,105.83
TestP03_PossibleNegativeWaitGroup,GoPie,0.57872,0.29858,1e-05,0.0,103.68
TestP03_PossibleNegativeWaitGroup,GoPie+,70.91334,0.29802,1e-05,0.0,0.85
TestP03_PossibleNegativeWaitGroup,GoPieHB,600.79522,0.26549,0.00014,4e-05,0.1
TestL08_LeakOnMutex,Flow,0.58595,0.30004,0.00016,4e-05,102.4
TestL08_LeakOnMutex,GFuzz,0.60743,0.30562,0.0,0.0,98.78
TestL08_LeakOnMutex,GFuzzHB,0.61628,0.30368,0.00014,6e-05,97.36
TestL08_LeakOnMutex,GFuzzHBFlow,0.61794,0.31326,0.00014,5e-05,97.1
TestL08_LeakOnMutex,GoPie,601.71758,0.30245,0.0,0.0,0.3
TestL08_LeakOnMutex,GoPie+,71.1459,0.27875,0.0,0.0,1.69
TestL08_LeakOnMutex,GoPieHB,601.08988,0.2693,0.00022,6e-05,0.3
TestL02_UnbufferedLeakNoPartner,Flow,120.71963,60.36543,0.0001,6e-05,0.5
TestL02_UnbufferedLeakNoPartner,GFuzz,120.776,60.34583,1e-05,0.0,0.5
TestL02_UnbufferedLeakNoPartner,GFuzzHB,120.64571,60.31946,5e-05,3e-05,0.5
TestL02_UnbufferedLeakNoPartner,GFuzzHBFlow,120.74282,60.34186,0.00022,6e-05,0.5
TestL02_UnbufferedLeakNoPartner,GoPie,120.64878,60.34008,1e-05,0.0,0.5
TestL02_UnbufferedLeakNoPartner,GoPie+,120.63852,60.32245,1e-05,0.0,0.5
TestL02_UnbufferedLeakNoPartner,GoPieHB,120.63459,60.29258,5e-05,4e-05,0.5
TestA03_CloseOnClosed,Flow,0.8932,0.43891,0.00014,0.00035,67.17
TestA03_CloseOnClosed,GFuzz,0.86183,0.48967,1e-05,0.0,69.62
TestA03_CloseOnClosed,GFuzzHB,0.79321,0.4197,9e-05,4e-05,75.64
TestA03_CloseOnClosed,GFuzzHBFlow,0.80115,0.43747,0.00011,6e-05,74.89
TestA03_CloseOnClosed,GoPie,0.78795,0.39681,1e-05,0.0,76.15
TestA03_CloseOnClosed,GoPie+,0.81864,0.40309,1e-05,0.0,73.29
TestA03_CloseOnClosed,GoPieHB,0.8831,0.44871,0.0001,5e-05,67.94
TestA01_SendOnClosed,Flow,0.81011,0.39422,0.00016,9e-05,74.06
TestA01_SendOnClosed,GFuzz,0.88139,0.45043,2e-05,0.0,68.07
TestA01_SendOnClosed,GFuzzHB,0.91839,0.5602,8e-05,5e-05,65.33
TestA01_SendOnClosed,GFuzzHBFlow,0.81225,0.42696,7e-05,6e-05,73.87
TestA01_SendOnClosed,GoPie,0.87154,0.45055,2e-05,0.0,68.84
TestA01_SendOnClosed,GoPie+,0.75874,0.38388,1e-05,0.0,79.08
TestA01_SendOnClosed,GoPieHB,0.86381,0.43938,0.00011,0.0001,69.46
TestA00_UnknownPanic,Flow,0.60563,0.29983,6e-05,4e-05,99.07
TestA00_UnknownPanic,GFuzz,0.48927,0.26101,1e-05,0.0,122.63
TestA00_UnknownPanic,GFuzzHB,0.55935,0.31075,7e-05,7e-05,107.27
TestA00_UnknownPanic,GFuzzHBFlow,0.69934,0.33482,5e-05,5e-05,85.8
TestA00_UnknownPanic,GoPie,0.6589,0.31886,1e-05,0.0,91.06
TestA00_UnknownPanic,GoPie+,0.64223,0.31138,1e-05,0.0,93.42
TestA00_UnknownPanic,GoPieHB,0.64654,0.32047,5e-05,4e-05,92.8
TestA02_ReceiveOnClosed,Flow,0.75919,0.40367,8e-05,9e-05,79.03
TestA02_ReceiveOnClosed,GFuzz,0.87287,0.45745,0.0,0.0,68.74
TestA02_ReceiveOnClosed,GFuzzHB,0.80723,0.43986,8e-05,5e-05,74.33
TestA02_ReceiveOnClosed,GFuzzHBFlow,0.92463,0.53649,7e-05,4e-05,64.89
TestA02_ReceiveOnClosed,GoPie,0.76244,0.42117,0.0,0.0,78.69
TestA02_ReceiveOnClosed,GoPie+,0.83828,0.43189,0.0,0.0,71.58
TestA02_ReceiveOnClosed,GoPieHB,0.83735,0.45263,0.00016,8e-05,71.65
