Test,Mode,Unique_Bugs,Total_Bugs,Bug_Types,Bugs_per_1000_Runs,Bugs_per_Minute
TestMixed3,Flow,2,2,A01;L09,2000.0,141.42
TestMixed3,GFuzz,2,1,A01;L00,1000.0,59.79
TestMixed3,GFuzzHB,2,2,A01;L09,2000.0,123.73
TestMixed3,GFuzzHBFlow,2,2,A01;L09,2000.0,128.36
TestMixed3,GoPie,2,1,A01;L00,10.0,1.14
TestMixed3,GoPie+,2,1,A01;L00,500.0,0.1
TestMixed3,GoPieHB,2,2,A01;L09,400.0,1.67
TestMixed2,Flow,2,1,A05;L09,1000.0,72.97
TestMixed2,GFuzz,2,1,A05;L00,1000.0,72.06
TestMixed2,GFuzzHB,2,1,A05;L09,1000.0,68.7
TestMixed2,GFuzzHBFlow,2,1,A05;L09,1000.0,67.86
TestMixed2,GoPie,2,1,A05;L00,1000.0,63.75
TestMixed2,GoPie+,2,1,A05;L00,1000.0,70.1
TestMixed2,GoPieHB,2,1,A05;L09,1000.0,63.71
TestA07_ConcurrentRecv,Flow,1,0,L02,0.0,0.0
TestA07_ConcurrentRecv,GFuzz,1,0,L00,0.0,0.0
TestA07_ConcurrentRecv,GFuzzHB,1,0,L02,0.0,0.0
TestA07_ConcurrentRecv,GFuzzHBFlow,1,0,L02,0.0,0.0
TestA07_ConcurrentRecv,GoPie,1,0,L00,0.0,0.0
TestA07_ConcurrentRecv,GoPie+,1,0,L00,0.0,0.0
TestA07_ConcurrentRecv,GoPieHB,1,0,L02,0.0,0.0
TestL03_BufferedLeakWithPartner,Flow,0,0,,0.0,0.0
TestL03_BufferedLeakWithPartner,GFuzz,0,0,,0.0,0.0
TestL03_BufferedLeakWithPartner,GFuzzHB,0,0,,0.0,0.0
TestL03_BufferedLeakWithPartner,GFuzzHBFlow,0,0,,0.0,0.0
TestL03_BufferedLeakWithPartner,GoPie,0,0,,0.0,0.0
TestL03_BufferedLeakWithPartner,GoPie+,0,0,,0.0,0.0
TestL03_BufferedLeakWithPartner,GoPieHB,0,0,,0.0,0.0
TestP02_PossibleRecvOnClosed,Flow,1,1,A02,1000.0,104.66
TestP02_PossibleRecvOnClosed,GFuzz,0,0,,0.0,0.0
TestP02_PossibleRecvOnClosed,GFuzzHB,1,1,A02,1000.0,98.96
TestP02_PossibleRecvOnClosed,GFuzzHBFlow,1,1,A02,1000.0,103.55
TestP02_PossibleRecvOnClosed,GoPie,0,0,,0.0,0.0
TestP02_PossibleRecvOnClosed,GoPie+,0,0,,0.0,0.0
TestP02_PossibleRecvOnClosed,GoPieHB,1,1,A02,1000.0,0.85
TestL05_LeakOnNilChan,Flow,1,0,R01,0.0,0.0
TestL05_LeakOnNilChan,GFuzz,1,0,R01,0.0,0.0
TestL05_LeakOnNilChan,GFuzzHB,1,0,R01,0.0,0.0
TestL05_LeakOnNilChan,GFuzzHBFlow,1,0,R01,0.0,0.0
TestL05_LeakOnNilChan,GoPie,1,0,R01,0.0,0.0
TestL05_LeakOnNilChan,GoPie+,1,0,R01,0.0,0.0
TestL05_LeakOnNilChan,GoPieHB,1,0,R01,0.0,0.0
TestL01_UnbufferedLeakWithPartner,Flow,0,0,,0.0,0.0
TestL01_UnbufferedLeakWithPartner,GFuzz,0,0,,0.0,0.0
TestL01_UnbufferedLeakWithPartner,GFuzzHB,0,0,,0.0,0.0
TestL01_UnbufferedLeakWithPartner,GFuzzHBFlow,0,0,,0.0,0.0
TestL01_UnbufferedLeakWithPartner,GoPie,0,0,,0.0,0.0
TestL01_UnbufferedLeakWithPartner,GoPie+,0,0,,0.0,0.0
TestL01_UnbufferedLeakWithPartner,GoPieHB,0,0,,0.0,0.0
TestA01_Mixed,Flow,1,2,A01,2000.0,131.9
TestA01_Mixed,GFuzz,1,1,A01,1000.0,71.91
TestA01_Mixed,GFuzzHB,1,2,A01,2000.0,146.69
TestA01_Mixed,GFuzzHBFlow,1,2,A01,2000.0,135.09
TestA01_Mixed,GoPie,1,1,A01,333.33,0.84
TestA01_Mixed,GoPie+,1,1,A01,200.0,23.41
TestA01_Mixed,GoPieHB,1,2,A01,400.0,47.05
TestMixed1,Flow,2,2,A01;L02,2000.0,111.37
TestMixed1,GFuzz,2,1,A01;L00,1000.0,66.94
TestMixed1,GFuzzHB,2,2,A01;L02,2000.0,119.8
TestMixed1,GFuzzHBFlow,2,2,A01;L02,2000.0,119.62
TestMixed1,GoPie,2,1,A01;L00,1000.0,60.42
TestMixed1,GoPie+,2,1,A01;L00,1000.0,61.19
TestMixed1,GoPieHB,2,2,A01;L02,2000.0,133.63
TestA03_Mixed,Flow,2,2,A03;L00,2000.0,145.05
TestA03_Mixed,GFuzz,2,1,A03;L00,1000.0,71.79
TestA03_Mixed,GFuzzHB,2,2,A03;L00,2000.0,154.94
TestA03_Mixed,GFuzzHBFlow,2,2,A03;L00,2000.0,157.5
TestA03_Mixed,GoPie,2,1,A03;L00,10.0,1.03
TestA03_Mixed,GoPie+,2,1,A03;L00,200.0,0.82
TestA03_Mixed,GoPieHB,2,2,A03;L00,333.33,37.35
TestL07_LeakOnSelectWithoutPartner,Flow,0,0,,0.0,0.0
TestL07_LeakOnSelectWithoutPartner,GFuzz,0,0,,0.0,0.0
TestL07_LeakOnSelectWithoutPartner,GFuzzHB,0,0,,0.0,0.0
TestL07_LeakOnSelectWithoutPartner,GFuzzHBFlow,0,0,,0.0,0.0
TestL07_LeakOnSelectWithoutPartner,GoPie,0,0,,0.0,0.0
TestL07_LeakOnSelectWithoutPartner,GoPie+,0,0,,0.0,0.0
TestL07_LeakOnSelectWithoutPartner,GoPieHB,0,0,,0.0,0.0
TestMixed4,Flow,2,1,A02;L01,1000.0,0.98
TestMixed4,GFuzz,1,0,L00,0.0,0.0
TestMixed4,GFuzzHB,2,1,A02;L01,1000.0,0.99
TestMixed4,GFuzzHBFlow,2,1,A02;L01,1000.0,12.4
TestMixed4,GoPie,1,0,L00,0.0,0.0
TestMixed4,GoPie+,1,0,L00,0.0,0.0
TestMixed4,GoPieHB,2,1,A02;L01,1000.0,0.99
TestL09_LeakOnWaitGroup,Flow,1,0,L09,0.0,0.0
TestL09_LeakOnWaitGroup,GFuzz,1,0,L00,0.0,0.0
TestL09_LeakOnWaitGroup,GFuzzHB,1,0,L09,0.0,0.0
TestL09_LeakOnWaitGroup,GFuzzHBFlow,1,0,L09,0.0,0.0
TestL09_LeakOnWaitGroup,GoPie,1,0,L00,0.0,0.0
TestL09_LeakOnWaitGroup,GoPie+,1,0,L00,0.0,0.0
TestL09_LeakOnWaitGroup,GoPieHB,1,0,L09,0.0,0.0
TestL04_BufferedLeakNoPartner,Flow,0,0,,0.0,0.0
TestL04_BufferedLeakNoPartner,GFuzz,0,0,,0.0,0.0
TestL04_BufferedLeakNoPartner,GFuzzHB,0,0,,0.0,0.0
TestL04_BufferedLeakNoPartner,GFuzzHBFlow,0,0,,0.0,0.0
TestL04_BufferedLeakNoPartner,GoPie,0,0,,0.0,0.0
TestL04_BufferedLeakNoPartner,GoPie+,0,0,,0.0,0.0
TestL04_BufferedLeakNoPartner,GoPieHB,0,0,,0.0,0.0
TestA02_Mixed,Flow,1,1,A02,1000.0,71.77
TestA02_Mixed,GFuzz,0,0,,0.0,0.0
TestA02_Mixed,GFuzzHB,1,1,A02,1000.0,77.11
TestA02_Mixed,GFuzzHBFlow,1,1,A02,1000.0,75.68
TestA02_Mixed,GoPie,0,0,,0.0,0.0
TestA02_Mixed,GoPie+,0,0,,0.0,0.0
TestA02_Mixed,GoPieHB,1,1,A02,200.0,21.02
TestL00_UnknownLeak,Flow,1,0,L02,0.0,0.0
TestL00_UnknownLeak,GFuzz,1,0,L00,0.0,0.0
TestL00_UnknownLeak,GFuzzHB,1,0,L02,0.0,0.0
TestL00_UnknownLeak,GFuzzHBFlow,1,0,L02,0.0,0.0
TestL00_UnknownLeak,GoPie,1,0,L00,0.0,0.0
TestL00_UnknownLeak,GoPie+,1,0,L00,0.0,0.0
TestL00_UnknownLeak,GoPieHB,1,0,L02,0.0,0.0
TestA05_NegativeWaitGroup,Flow,2,1,A05;L09,1000.0,73.63
TestA05_NegativeWaitGroup,GFuzz,2,1,A05;L00,1000.0,67.6
TestA05_NegativeWaitGroup,GFuzzHB,2,1,A05;L09,1000.0,72.46
TestA05_NegativeWaitGroup,GFuzzHBFlow,2,1,A05;L09,1000.0,72.82
TestA05_NegativeWaitGroup,GoPie,2,1,A05;L00,1000.0,70.74
TestA05_NegativeWaitGroup,GoPie+,2,1,A05;L00,1000.0,71.34
TestA05_NegativeWaitGroup,GoPieHB,2,1,A05;L09,1000.0,76.24
TestA04_Mixed,Flow,1,1,A04,1000.0,69.22
TestA04_Mixed,GFuzz,1,1,A04,1000.0,72.98
TestA04_Mixed,GFuzzHB,1,1,A04,1000.0,78.08
TestA04_Mixed,GFuzzHBFlow,1,1,A04,1000.0,79.3
TestA04_Mixed,GoPie,1,1,A04,1000.0,72.52
TestA04_Mixed,GoPie+,1,1,A04,1000.0,64.97
TestA04_Mixed,GoPieHB,1,1,A04,1000.0,74.07
TestL10_LeakOnCond,Flow,1,0,L10,0.0,0.0
TestL10_LeakOnCond,GFuzz,1,0,L00,0.0,0.0
